,prompt,expected_completion,actual_completion
5754,"BEAM is easy on the eyes. Check out our beautiful surroundings, then imagine yourself at home. LIVE ON THE BRIGHT SIDE Light and lively, BEAM apartments feel like a friendly hello. From studios to two bedrooms, we’ve designed every space for style and speed. Wired for the fastest internet, decked out with stainless steel appliances, live with energy, and popping with color. BEAM is the next, new bright spot in apartment living in Seattle’s Little Saigon. Offering airy, light-filled homes and sunny communal amenities. Created in concert with the neighborhood, BEAM celebrates the energy and warmth of Vietnamese market culture. Harmonious with the friendly buzz of the International District — where stories are swapped, meals are shared, and adventure is always calling. BEAM offers a passageway to Seattle’s most interesting and diverse cultural discoveries — a home in harmony with a heritage that lets you live your brightest life. Surrounded by windows to let the sunshine in! 98 Walk Score, and a perfect 100 Transit Score, and the Seattle Streetcar right out your door. Welcome to the neighborhood! Call Now: show contact info x 56 OR Text 56 to show contact info to contact us. Use the link below for more details: <URL> This is a 1 Bedroom, 1 Bath, approximately 642 Sq. Ft. Features - Polished quartz countertops - Modern carpeting in bedrooms - Expansive windows - Wired for speed - Washer and dryer in unit - Convenient USB ports - Tiled backsplash - Hardwood-style flooring in living areas - Air conditioning and wired with ports - Modern cabinetry - Intelligent stainless steel appliances - Balcony and courtyard patios - Undercabinet lighting Community Amenities - 24-hour package lockers - Gated resident parking - Fitness Center with tons of weight and cardio - Indoor/outdoor Zen room - Media room with a big-screen - Pet-washing station - Sky Lounge with comfy seating - Secure bicycle storage - Energy-efficient building - Beam Alley, a ground-level Vietnamese-style market with pop-up shops and local fare - Electronic vehicle charging stations - Rooftop sun deck with views - Outdoor community courtyard - Game Lounge Pet Policy Pets Welcome! Some restrictions and fee's may apply. Contact us! Income Requirements: 2.5 times the monthly rent Driving Directions I-5 South: Follow I-5 S to S Dearborn St in Seattle. Take exit 164 from I-5 S Take 7th Ave S and S King St to your destination I-5 North: Follow I-5 N to S Dearborn St in Seattle. Take exit 164A from I-5 N Continue on S Dearborn St to your destination Office Hours Monday-Sunday:10:00AM-6:00PM BEAM 1029 South Jackson Street, Seattle, WA, 98104 pd8pNo3gu Is rent cheap, average, or expensive? <SEP>
", average, expensive
923,"This lovely community is centrally located in Renton to provide easy access to both work and play throughout the city and surrounding area. Each exquisite home offers modern fixtures and fine finishes to fit every individual lifestyle, while still accommodating the ease of adding your own personal touches throughout your new home. You’ll find a wonderful array of amenities including 9 ft elevated ceilings, cozy living room fireplaces, and a fitness studio. -Easy Online Rent Payments -Upgraded Features & Finishes -Abundant Storage Throughout -Pet Friendly Community -Updated Stainless Steel Appliances -Limited Access Entry -Located Near Lake Washington and  Cedar River Trail -Adjacent to Downtown Renton Piazza Park -Additional Exterior Storage -Professional Caring Management Team -Onsite Retail & Services -ADA Compliant Call: show contact info For more information, visit us at: <URL> Equal Housing Opportunity Prices and Availability are Subject to Change Without Notice Is rent cheap, average, or expensive? <SEP>
", average, average
3223,"2211 6th Avenue, Milton, WA 98354 Autumn Village Apartments in Milton, WAThe charming community of Autumn Village is a great place to call home! Surrounded by mature trees and landscaping, you will feel like you have escaped to serenity!Located at the base of Milton and right outside of Fife, with the convenience of nearby restaurants & shopping, as well as easy freeway access. Call or stop by today and make Autumn Village Apartments your new home! Apartment Features: Balcony Cable Ready Garbage Disposal Fireplace Storage Units Washer & Dryer Community Features: Zero Deposit Community Emergency Maintenance Public Transportation Nearby Courtyard Extra Storage Translation Service Available Call: show contact info For more information, visit us at: <URL> *Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! Is rent cheap, average, or expensive? <SEP>
", cheap, average
8613,"Residences at 3295 3295 SW Avalon Way, Seattle, WA, 98126 Call Now - show contact info x 129 OR Text 129 to show contact info to contact our leasing team. Interested in more information? See link below: <URL> Elevated Living at The Residences at 3295 This is a 1 Bedroom, 1 Bath, Approximately 501 Sq. Ft. From breathtaking views of Mt. Rainier in the distance to luxury West Seattle apartments for rent with contemporary interiors, you’ll love every detail of our community at Residences at 3295. Whether you’re looking for a studio, one bedroom, or two bedroom APARTMENTS in West Seattle, WA, you’ll find the space you need in our pet-friendly and smoke-free community. Come home to a modern layout with oversized windows, designer finishes, and a convenient in-home washer and dryer set. With quartz stone countertops and efficient stainless steel appliances, your kitchen will take your culinary efforts to new heights. Extra-large windows allow plenty of natural light to enter your home, while art glass light fixtures give your living spaces a sophisticated look and feel. Our community and our underground parking are controlled access, offering you peace of mind 24 hours a day. Step up your morning workout routine in our fitness center, or enjoy a relaxing evening on our rooftop terrace with breathtaking views of the Seattle skyline and the Cascade Mountains. When the views inspire you to explore downtown or the mountains for yourself, easy freeway access can get you there. There’s also plenty to do closer to home. Spend your weekends relaxing at the waterfront at nearby Alki Beach or hike the forested trails and take in the stunning city views at Puget Park. From the sleek aesthetic of our interiors and the convenience of our community amenities to the invigorating energy of the city and natural areas around us, the Residences at 3295 has everything you’re looking for in your next home. Explore our West Seattle Apartments for rent and Schedule your tour of our community today. Pet Policy Cats and Dogs Ok Max Number of Pets Per Home: 2 Office Hours: Tuesday-Friday: 9:00AM-6:00PM Saturday-Sunday: 10:00AM-5:00PM 1qK372KRpI0 Is rent cheap, average, or expensive? <SEP>
", cheap, average
1029,"Call Us Today show contact info Situated just blocks away from some of your favorite grocery stores and local restaurants, this apartment is one of our most popular. Sliding glass doors give this home a new age feel. The ""L"" shaped kitchen is perfect for the budding chef and the large windows brighten up your life. Looking for a new place to call home? The Springline Apartments in the Admiral District of West Seattle are the epitome of Home and all the greatness that comes with a close community. Come tour with us and see why our residents love calling Springline ""home"". Office Hours Monday: Closed Tuesday: By Appointment Wednesday: By Appointment Thursday: By Appointment Friday: By Appointment Saturday: By Appointment Sunday: Closed Springline Apartments More Photos <URL> Our community does not accept reusable tenant screening reports. Is rent cheap, average, or expensive? <SEP>
", average, average
9503,"This is a 1 Bedroom, 1 Bath, Approximately 801 Sq. Ft. Want more info on this unit? See the link (below): <URL> Life Just Got Better Call Now - show contact info x 102 OR Text 102 to show contact info to contact our team. Community Info: Welcome to Capitol Heights Apartments! Here it's all about location. Situated in a beautiful wooded setting surrounded by nature, you might almost forget that you are only minutes from fine dining, shopping and recreation, and an easy commute to work. Capitol Heights is also about quality, carefree living and personalized service, too. Our large floor plans offer the features you've been looking for, including a full-size washer/dryer, wood-burning fireplace, and large patio/deck. You can also cancel your gym membership because we've got a pool, spa, and fitness center! What's left? Service. Got that covered too. Contact us today for more information or stop by for your own personal tour! Apartment Features: ✩  Ceiling Fan ✩  Dishwasher ✩  Microwave ✩  Pantry ✩  Patio/Balcony ✩  Washer/Dryer in Unit ✩  All Electric Kitchen ✩  Extra Storage ✩  Cozy Wood Burning Fireplace Community Features: ✩  Fitness Center ✩  Resident Clubhouse ✩  Near Shopping & Dining ✩  Playground ✩  Covered Parking ✩  Pet-Friendly Community ✩  1, 2, & 3 Bedroom Apartments ✩  Seasonal Pool & Spa Pet Policy: Pet Policy Type: Bird, Cat, Dog, Fish, Reptile Max Number of Pets: 2 Max weight of pets: 30 Pet deposit fee min/max: PRICE - PRICE Pet monthly rent min/max: PRICE - PRICE Pet policy fee min/max: PRICE - PRICE Income Requirements: 3x Office Hours: Monday-Friday: 9:00AM-5:00PM We do not accept Comprehensive Reusable Tenant Screening Reports as defined by and pursuant to RCW 59.18. Equal Housing Opportunity xK9iCTUk6 Is rent cheap, average, or expensive? <SEP>
", expensive, average
3861,"1610 West James Place, Kent, WA 98032 Driftwood Apartments offers studio, one and two bedroom apartment homes in Kent, Washington, just minutes from entertainment and dining options at Kent Station. Our apartments include in-unit washer and dryers, walk in closets, outdoor patios, and fully equipped kitchens. The recreation options at Driftwood are endless with an outdoor swimming pool, fitness center, playground, human foosball, outdoor movie theatre, soccer field and more! Driftwood Apartments is a pet friendly community and welcomes both cats and dogs. Find the floor plan that’s right for you and schedule a tour today! Apartment Features: Stainless Steel Appliances Patio Walk-In Closets Washer/Dryer New Lighting Wood Look Flooring Community Features: Free Bike Storage Outdoor Movie Theater Translation Service Available Clubhouse Turf Soccer Field Fitness Center Call: show contact info For more information, visit us at: <URL> *Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
190,"6115 111th Street East, Puyallup , WA 98373 Deer Creek Strike a balance between work and your social life at Deer Creek, a stunning community set between the snowy mountains of Mt. Rainier and the excitement of downtown Tacoma. Situated in Puyallup, Deer Creek Apartments offers one, two and three-bedroom apartments with upgraded modern finishes and superior amenities at an appealing price. Envision yourself enjoying the private swimming pool, working out in the fitness center, lounging in the resident clubhouse, or playing with your kids at the playground. Deer Creek Apartments offers several amenities and is just minutes from shopping, dining, and entertainment in Puyallup. Schedule your tour today to see why so many people love calling Deer Creek Apartments in Puyallup home. Apartment Features: Walk-In Closets in Select Homes Gourmet Kitchens with Microwaves and Ice Makers Hardwood Floors Washer/Dryer Wood Burning Fireplaces in Select Homes Private Patios and Balconies Community Features: Double Sinks Pantry Stainless Steel Appliances Microwave Energy Efficient Appliances Dishwasher Separate Dining Area Large Closet Dual Vanity Sinks Carpeted Disability Access In-Unit Laundry Views Spacious Floorplans Ceiling Fan Hardwood Flooring Heat Included Wired for Technology Billiards Table Fitness Center Pet Friendly Controlled Access Playground Recycling Swimming Pool Clubhouse Close to Shopping Close to Public Transportation Close to Restaurants Close to Freeway Close to Schools Flexible Lease Terms Available Online Payments Available On-Site Maintenance On-Site Management Online Service Requests Package Receiving Postal Services Convenient Access to Major Highways and Employment Flexible Monthly Payments with Flex Rent Newly Renovated Clubhouse with Billiards Table Call: show contact info For more information, visit us at: <URL> *Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! Is rent cheap, average, or expensive? <SEP>
", expensive, average
10764,"SPACIOUS OPEN ONE BEDROOM BY GREEN LAKE! Property Address 6717 Roosevelt Way NE | 404 | Seattle, WA 98115 Available: 08/06/2023 Offered By Hive | show contact info Description Property Address 6717 Roosevelt Way Northeast | Seattle, WA 98115 Offered By Lucille on Roosevelt | show contact info | Check out our full availability at: <URL> Welcome to a fresh perspective on apartment living. Where modern lines and generous amenities read like features from a custom-built home – with everything from air conditioning and smart locks, to dimmable light fixtures and built-in bookcases. At street level, experience an open-air lobby, local coffee roaster, and a dedicated co-working space with retractable walls to bring the outside in. Live: This fabulous 4th-floor open one-bedroom apartment home has a formal entry with floor to ceiling windows to maximize natural light. The kitchen features Quartz countertops with an under-mount sink, subway tile backsplash, pantry, and adjacent shelving, stainless steel appliances, a glass cooktop, and under-mount cabinet lighting with a dimmer to set any mood. Just off the living room is a Juliette balcony that opens to fresh air. All of our homes have a full-size washer and dryer and are equipped with air conditioning. Walk/Eat: Lucille selected the burgeoning Roosevelt neighborhood for its inherent walkability – to restaurants, Whole Foods, and the outdoor hub of nearby Green Lake. You’ll enjoy quick access to everything with nearby I-5 and the future light rail station less than two blocks away. You can have it all, plus mountain, water, and city views, from Lucille’s rooftop deck. Bike: Great bike route to University District and Downtown Green Lake Park: ½ mile to one of Seattle's best in-city parks featuring a 3-mile jogging/bike path, tennis courts, a golf course, swimming pool, playground and wading pool, two popular swimming beaches, paddle boats, rowing center, paddle boarding, windsurfing, basketball courts, soccer and softball fields, and wooded and picnic areas. Commute Time: 11 Minutes to Downtown (Google Maps) Super convenient I-5 access and 2 blocks to the downtown express bus stop. Link light rail station in Roosevelt OPEN NOW! Located on 12th Ave NE with 65th and 67th Street entrances, ride time to downtown is estimated at 10 minutes, with the restaurants and nightlife of Capitol Hill as well as the UW campus even closer. Water/Sewer/Garbage Individually Metered PRICE refundable security deposit plus a PRICE holding deposit Cats and Dogs are allowed with an additional deposit; monthly pet rent PRICE per pet deposit, PRICE monthly cat rent, PRICE monthly dog rent One-Time PooPrints Swab Fee of PRICE Non-smoking building. Call or reply to this post to schedule a tour! To view our application criteria, click here: <URL> Details Beds/Baths: 1BD/1.0BA Square Feet: 635 Rental Terms Rent: PRICE Available: 08/06/2023 Application Fee: PRICE Security Deposit: PRICE Pet Policy Cats allowed Dogs allowed Is rent cheap, average, or expensive? <SEP>
", expensive, average
6166,"521 Stadium Place S, Seattle, WA 98104 The Wave takes modern design to new heights. This 26 story apartment tower has an unparalleled look, location and breathtaking views (from up here you can see the 12th Person!). The Wave is part of Stadium Place, a modern community designed so you can live, work and play in Seattle’s most famous neighborhoods. The Wave luxury apartment homes offer floor to ceiling windows, top end finishes, quartz counters, air conditioning, walk in closets and wood flooring along with two roof top lounges with stunning views, a massive courtyard, high tech theater and a spa like fitness center. Apartment Features: Air Conditioning High-End Finishes Washer and Dryer Quartz Countertops Mobile Kitchen Island Stainless-Steel Appliances Community Features: Resident Lounge and Game Room Pet-Friendly Community with Two Dog Runs and a Paw Spa Private Resident Theater Room Sound Lounge with Wine Storage Business and Conference Center Resident Package Lockers Expansive Rooftop Deck with Views of Mount Rainier, Puget Sound, and Downtown Seattle Onsite Controlled Access Parking and Storage Call: show contact info For more information, visit us at: <URL> *Pricing and Availability are subject to change daily. Photos may not be of the exact advertised unit. Contact us today for the most up to date information. Is rent cheap, average, or expensive? <SEP>
", average, expensive
