,prompt,completion,actual_completion
1024,"PROPERTY INFO ID: 297108011 Rent: $2,000 / Month Beds: 1 Bath: 1 Pet: Pet Friendly FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Fitness Center Flooring-Hardwood Only Laundry- W/D In Unit Lofted (Open)-Some Bedrooms Luxury Property New Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 2001-2500, 2001-2500
2990,"I am subletting my one-bedroom apartment in a luxury building (Scio at the medical district), walking distance UIC HEALTH and Rush and UIC, from November to March with a possibility of extension. -=>", 1501-2000, 1501-
7,"Great 1bd/1ba In Andersonville Available Now! In Unit Laundry! Heat, Hot Water, Wifi, & Trash Included! Pay Just Electric & Cable/Internet! Hardwood Floors, Fresh Paint, & Large Windows! Updated Kitchen Cabinets, Large Counter Space W/Breakfast Bar Leading To Living Space! Updated Bathroom! Queen Size Bedroom W/Great Closet Space! Onsite Laundry & Storage Space! Off Street Parking Available For $75/mo. Small Dogs Ok No Aggressive Breeds! Email Or Txt Joseph Perez Landstar Realty Group, Inc. 630-709-1606 -=>", 1001-1500, 1001-
1588,"PROPERTY INFO ID: 315383438 Rent: $2,000 / Month Beds: 1 Bath: 1 Available Date: 01/01/2023 Pet: Pet Friendly Rent Includes:: Cable, Internet, Water INCREDIBLE CHIC ARTIST LOFT IN VINTAGE PRINTING HOUSE ~ TONS OF LIGHT ~ 12 FT TIMBER CEILINGS ~ EXPOSED BRICK ~ OPEN KITCHEN WITH GRANITE COUNTERS AND SS APPLIANCES ~ HARDWOOD FLOORS ~ GAS FIREPLACE ~ WELL SUITED FOR ACCESS TO DOWNTOWN PUBLIC TRANSPORTATION GROCERY AND THE LAKE ~ PRIVATELY OWNED ~ IN UNIT W/D ~ PET FRIENDLY ~ 3rd PARTY PARKING OPTIONS AVAILABLE CALL OR TEXT Patrick 708.902.2266 @markey_real_estate @apartmentsource FEATURES Bike Room/Bike Trails Cable TV Included Carpet Bedrooms Cats Ok Central Air Central Heat Dishwasher Dogs Ok Doorman Elevator Exposed Brick Fireplace Hardwood Floors High-speed internet High Ceiling Laundry in Unit Loft On Site Manager/Engineer Parking Available Spacious Closets Stainless Steel Appliances Storage Unit Patrick Markey Licensed Leasing Agent 708 902 2266 TAS The Apartment Source Call or text: 773.404.9900 -=>", 2001-2500, 2001-2500
372,"2774 N. Kenmore Lincoln Park Fabulous two bedroom, two bathroom walkup in Lincoln Park features updated eat in kitchen with maple cabinets, dishwasher, separate dining room with original built in hutch, large living room with decorative fireplace and ceiling fan, hardwood floors, spacious bedrooms, great closet space, updated bathrooms, central heat and air, laundry room in building, deck, one cat is welcome! Short walk to Diversey Red Line, too! Fantastic Lincoln Park address, great walk score! Please Call Hayley Frazier at 847/322-1838‬ to schedule an appointment to view this apartment and mention Apartment ID: 11057. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 2501-3000, 2501-
733,"ID: c9244sag ""Virtual and video tours available! Visit our website to view videos of our available apartments, or call now to schedule a virtual tour! All you need is an internet connection."" ☎ 312-428-4861 now to schedule a tour! Located near 95th and Colfax 2 Bedroom $1095-$1110 (725-850 sqft) -Section 8 Accepted Rental features: ✰Eat-in kitchen ✰Hardwood floors The building offers: ✰On-site laundry ✰Pre-wired phone/cable Get to know your new neighborhood in South Chicago (60617) near 95th and Colfax. Nearby banks: Royal Financial, Citibank, Standard Bank & Trust Company, and U.S. Bank. Like what you see? We have plenty of units available in Chicago, Park Forest, Sauk Village, West Austin, Maywood, Broadview, and many more. ""Pangea is an Equal Housing Opportunity provider"". Call 312-428-4861 to schedule a tour! **NOTE** If replying by email, please remember to include your phone # and/or email address in your response so we can follow up with you directly. ***Please note that photos are a representation of a model apartment and may not be pictures of the actual unit. ""Pangea Real Estate practices on-going dynamic pricing for all operated units. Unit promotions, discounts, and monthly rent quotes are subject to change based on day of month, current inventory, and additional market factors. As such, any promotions, discounts, or monthly rent quotes are valid only at the time presented to a prospective tenant and can expire anytime thereafter."" -=>", 1001-1500, 1001-
1444,"River West/East Village Giant Open Studio in Unique Converted Architect Designed 1889 Bar. The Open living space in this studio has High Ceilings with Antique Chandeliers, original Pine Flooring, Lots of Natural Light, Large Walk-in Closet, Custom hidden Roll-Away Queen Size Bed, Granite Countertops with Stamped Tin Cabinets and a Bathroom with a Single Slab Pebble Floor and Burled Walnut Cabinets. Total is about 700 square feet. Top floor of 2 story building with private sunny deck. Walk to Blue Line EL and bus. Available January 1. 858-410-5555. $1145 + $110 for utilities (which includes gas, heat, water and $30 worth of electric.) -=>", 1001-1500, 1001-
1863,"3 Story Townhome with attached 2 car garage. Gas fireplace, tub with jets in one bath and shower only in other bath. Laundry located on 3rd floor with bedrooms. Small balcony off eating area. Association includes snow removal and lawncare along with exterior maintenance. Bedrooms are carpeted, foyer has tile and main rooms are hardwood. Very large foyer with closets. Located at 2000 W Chase Contact leasing agent below. Thanks! Funsho Macaulay II Broker and Leasing Specialist Westward 360 224-503-5193 -=>", 2001-2500, 2001-2500
4016,"2207 W. Eastwood Lincoln Square Dynamite one bedroom one bathroom in courtyard building in the heart of Lincoln Square features brand new kitchen with espresso cabinets, granite countertops, stainless steel appliances, dishwasher, spacious living area, large bedroom, great closet space, new bathroom, in unit laundry, central heat and air, and pets are welcome! Steps to Lincoln Square shopping, nightlife, Brown Line, and more! UA1701 Please text Molly Parshall at 262/402-8414‬ to schedule an appointment to view this apartment and mention Apartment address. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 2001-2500, 1501-
3169,"PROPERTY INFO ID: 310074424 Rent:  / Month Beds: 1 Bath: 1 Available Date: Pet: Pet Friendly Parking:: attached garage Utilities additional. Parking available for additional fee. Pets permitted, restrictions apply, please tell me about your pet! CONTACT ME NOW FOR OCTOBER, NOVEMBER, AND DECEMBER MOVE DATES. For immediate availability or to set up your tour, message me or inquire here: <URL> ***When inquiring, message me with a contact number and email. Please be ready to hop on a call to discuss My name is Rachel and I have access to nearly every rental building across the city to help stream-line your search. With nearly 1,000 5-star google reviews, there’s no need to stress any further about your move! Any questions, ask me! Here to help! 100% free apartment finding service! Have thousands of listings available throughout Chicago! Rachel Russell 219.916.6499 AptAmigo AptAmigo Inc, a licensed IL Brokerage Corporation **Our service is 100% free! Ad is subject to errors and omissions. Pricing and availability are subject to change without notice. Pictures are representative samples of the advertised unit. In some cases, the actual units you tour may vary from the pictures based on the specific floor plan available. Listed address may vary slightly due to website restrictions. Units are leased unfurnished unless otherwise specified. 12 month lease term unless otherwise noted. Equal housing opportunity. Please inquire with any additional questions.* -=>", 2501-3000, 1501-
1465,"PROPERTY INFO ID: 315383445 Rent: $3,300 / Month Beds: 2 Bath: 2 Available Date: 01/01/2023 Pet: Negotiable Rent Includes:: Electricity, Garbage, Gas, Heat, Water Parking:: attached garage Brand New Construction 2 Bedroom Condo Featuring: * Huge windows for natural light * Very high ceilings * Smart thermostat * Hardwood floors through * Stainless steel appliances * Large bedrooms * Good closet space * Garage parking included! * Heat, electric, water, and trash included! CALL OR TEXT Patrick 708.902.2266 @markey_real_estate @apartmentsource Patrick Markey Licensed Leasing Agent 708 902 2266 TAS The Apartment Source Call or text: 773.404.9900 -=>", 3001-3500, 3001-
3444,"PROPERTY INFO ID: 108470579 Rent: $2,350 / Month Beds: 1 Bath: 1 Pet: Pet Friendly For fastest response text/call Jackie- 312-725-9047 I'd love to help you on your search. Please answer the following questions and we can get started! When is your move date?(is it flexible, if so how far in either direction)? Do you have any pets? (weight and breed)? Budget(just rent)? Neighborhoods you're considering? When are you available for a showing? Hi! My name is Jackie and I am a leasing consultant with Hotspot Rentals. My expertise is finding my clients a perfect place to call home! *Our Apartment Finding Service is COMPLETELY FREE* With a walk score of 99, you’re sure to love the convenience and hip urban touches to this contemporary development. You’re a quick walk to the CTA blue line and all the great shopping and restaurants of Wicker Park, in addition to easy access to the 606 bike path. Just west of the six corners of Milwaukee, Damen and North Ave, there’s plenty of trendy shopping and eateries. This urban development offers a roof deck terrace with BBQ grills, Pressbox dry cleaning lockers, LuxerOne package delivery service for all your needs. Inside each unit you’ll find in-unit W/D, custom stained concrete flooring, stainless steel appliances with custom cabinetry and select units offer a garage door window! Of course, your 4 legged companion is welcome, but breed and weight restrictions apply. Limited on-site parking is available at an additional cost. FEATURES Balcony-All Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property Security-Intercom/Key Fob Smoking-No Stove-Gas Jackie Perez 312-725-9047 HotSpot Rentals (License #481011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 2001-2500, 2001-2500
259,"Beautiful Studio apartment right in the heart of Lincoln Park. Walking distance to Diversey Harbor. Friendly neighborhood. Walking distance to shopping, restaurants, night life. Available ASAP from $1350 a month. Stainless steal appliances. Pet friendly. In-unit laundry -=>", 1001-1500, 1001-
4055,"554 W. Aldine Lakeview Comfortable one bedroom one bathroom in Lakeview courtyard building features newer kitchen with dishwasher, separate dining area, spacious living room with ceiling fan, beautiful hardwood floors throughout, large bright and sunny windows, large bedroom, great closet space, newer bathroom, laundry room in building, and pets are welcome! Steps to nightlife, shopping, transportation, and more! UA1701 Please Call Enela Palavra at 847/791-6116‬ to schedule an appointment to view this apartment and mention Apartment ID: 30491. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1501-
475,"Like sunshine and space? Want to live in a great elementary school district (Bell) and within walking distance to a great high school (Lane Tech)? Enjoy the many restaurants, theater, parks, etc of Lincoln Square, Wrigleyville, Irving Park and Roscoe Village? Rehabbed two bedroom apartment in St Bens. Hardwood floors, new Windows, new kitchen, new bath, stainless steel appliances, in unit laundry. Kitchen fits big dining room table. Both bedrooms fit queen beds and have good closets. Quiet tree lined block. Irving bus and Western bus a block away. Short walk to Brown Line. Easy street parking. Pets OK. $1700. August occupancy. 312-409-3222. -=>", 1501-2000, 1501-
2823,"3 bedroom rear apartment. We pay water & trash , Tenant pays NIPSCO. Contact Home Connection Realty for all of your Real Estate needs! (219) 962-8648 -=>", 501-1000, 501-1000
1201,"PROPERTY INFO ID: 46538983 Rent: $2,011 / Month Beds: 1 Bath: 1 Pet: Pet Friendly Parking:: attached garage Modern and Industrial feel!! High Lofted solid concrete ceiling, hardwood floors. Floor to Ceiling windows, w/d in unit. Sky deck with grills and fire pits, Rooftop Game Room, Pool Deck, Indoor/Outdoor Dog run. Right next to a Super Target for easy shopping. Call me for a tour at 219-299-9042 ask for Apollo We love this building for a lot of reasons, but mostly because they figured out how to make it beautiful, green and energy efficient without giving anything up. Design, sustainability and community are a priority in this one of a kind setting which offers an impeccably landscaped terrace with private lounges, fire pits and grilling stations, an outdoor pool and sundeck, and a separate rooftop lounge with media room, conference space and fireplace to enjoy the breathtaking city views. Inside, use the lounge with coworking table, modern fitness facility or just enjoy the beautiful artwork and interior space in this 100% smoke-free property. There is a 24-hour security door staff as well. Open, modern living spaces welcome you into these beautiful apartment homes. Contemporary finishes throughout include kitchens with gas stoves, integrated, cabinet-faced appliances, blackened steel backsplashes and non-toxic finishes. Exposed concrete ceilings and walls, hardwood flooring throughout and Nest Learning Thermostats leave no detail undone. Each unit comes with floor-to-ceiling windows, large closets and in-unit washers and dryers. Parking is available on-site at an additional charge and there is permit street parking within walking distance. Cats and dogs are accepted throughout and there are indoor and outdoor dog runs and washing stations for your four-legged friend (dog breed restrictions apply, but there is no weight limit). FEATURES Balcony-None Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 2001-2500, 2001-2500
3762,"Call/Text Gregory with Apartment Guys at 773-899-5505 and ask for reference #2192606. Gorgeous Downtown spacious studio! This beautiful, dog-friendly hi-rise apartment features Laundry in-unit, Hardwood floors and a unique and spacious floorplan! Stunning modern kitchen with moveable granite island with storage. In-unit laundry, customizable walk-in closet and additional storage options (including free bike storage)! This full-amenity building also features a 24-hour Concierge, 24/7 fitness center, Indoor Olympic size swimming pool with sauna, hot tub, and locker rooms, Business center and conference room, private movie theater, and outdoor lounge with stunning views, an indoor lounge with games, and gourmet kitchen. Apartments are within walking distance to everything in the Chicago Loop , no need for a car (CTA-every line, pedway, Theater District, Magnificent Mile, Gold Coast, River North, restaurants, bars, etc.) Prices are subject to change. ***Photos may be of a similar unit. *** *****FOR FASTER RESPONSE TIME TEXT/CALL 773-899-5505 -=>", 1501-2000, 2001-2500
366,944-D201 Virtual Tour: <URL> Loft/Duplex Up 1Bed 1 Bath Electric Fireplace In-Unit Laundry SS Appliances Dishwasher Walk-in Closet Private Balcony Parking Available (additional cost) Central HVAC Ceiling Fan Modern Finishes Throughout Pet Friendly- no breed restrictions Contact Jacky to schedule a tour before it's gone! -=>, 2001-2500, 2001-2500
3477,"2 Bedroom at the heart of Lakeview, this unit features enormous amounts of built-in wall storage, The kitchen has been remodeled into this spacious granite countertop, fully equipped stainless steel appliances, and dishwasher. The bedrooms have ample space for a king-size bed and living room area. Also, it has amenities like laundry on site, bike storage, a business center, and a fitness center—this beautiful apartment with a central location within walking distance of restaurants, and groceries. You can find a block away from the lakefront entrance and easy public transportation just in the corner to commute. Parking available. Utilities included gas, heat, water, garbage, and basic Cable and internet. Pictures may not be the actual unit. Prices are subject to change. Call and Text Sylvia Romero from Apartment Guys (312) 468-3409. Ask for reference Number 2192948 -=>", 2001-2500, 1501-
1721,"PROPERTY INFO ID: 300796711 Rent: $1,845 / Month Beds: 1 Bath: 1 Available Date: 01/18/2023 Pet: Pet Friendly Parking:: attached garage Call or text Jack @ 773x414x4222 for quickest response. If you text or email me, please include the following! Your name: The ID# from this ad or a screenshot: When is your move date? (is it flexible, if so how far in either direction)? Any pets (weight and breed)? Need parking? Budget (just rent)? When are you available for a showing?! Blending effortless style and convenience in Logan Square, Noca Blue offers luxury apartments featuring open floor plans, light and airy kitchens with stainless steel appliances, granite countertops, and plank flooring. Ample amenities are at your fingertips, including a rooftop terrace with a bocce ball court, resident lounges, and fitness center. This unbeatable location is only minutes away from downtown Chicago and O’Hare airport with the CTA Blue line steps away. Various restaurants are peppered through the neighborhood and well within a short walk. Pets are welcome, although breed restrictions apply. Parking is available covered or uncovered at an additional fee. FEATURES Luxury Property New Property Jack O'Brien 773-414-4222 HotSpot Rentals Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 1501-2000, 1501-
1395,We have a spacious 1 bedroom move in ready with an updated kitchen and bathroom with new flooring throughout. This unit is move in ready right away. -=>, 501-1000, 1001-
89,"This convertible/jr 1 bed unit is located on a charming tree-lined street that includes stunning north-facing views of the city, Lake Michigan, and historic Gold Coast district. Move-in ready with appliance, hardwood flooring, 4 floor-to-ceiling closets, and an extra storage cage on the first floor. Walking distance to CTA Purple and Brown lines, bus lines to the Loop, Lakeshore Drive, and 4 grocery stores. This building is walking distance to the Old Town Historic District, Lincoln Park, and Lake Michigan. Access to all the amenities of the Sandburg Village, including covered parking, indoor bike storage, tennis courts, 2 pools, rooftop deck, in-building gym, and more. $100 monthly utility package includes heat, water, high-speed internet, and cable TV. -=>", 1501-2000, 1501-
1346,"PROPERTY INFO ID: 34348291 Rent: $2,400 / Month Beds: 2 Bath: 1 Available Date: 04/01/2023 Pet: Cats Allowed Parking:: street parking Check out this Video Tour: <URL> Check out this 360 Tour of similar units: <URL> - Modern aesthetic - In-unit laundry - Central air - Gas forced heat - Condo quality - Granite counter tops - SS appliances - Queen sized bedrooms - Plenty of closet space - Hardwood floors throughout the unit Wilson and Lincoln - Plenty of restaurants, shopping, and nightlife in the area - Near Lincoln Square - Cat friendly! - Near Welles Park - Only a few blocks away from Western Brown Line Station - Several nearby bus lines (#49, #50, #78, #11, #49B, #81) - NO Security Deposit - 24-Hour Emergency Call Center Disclaimer: Photos are representative of another unit with the same floor plan. Photos might not fully represent this unit. ICM Properties has been proudly managing apartments since 1966. Call ICM Properties, Inc. for details or to arrange for a showing @ 773 549-5443. To see a list of other ICM properties, visit our website @ <URL> FEATURES Ceiling Fan Central Air Conditioning Dishwasher Eat-in Kitchen Gas Heat Gas Stove Granite Countertops Hardwood Floors Heat and Hot Water Laundry in Unit Modern appliances Modern Bathrooms Modern Rehab Near Bus Lines New Windows Refrigerator Renovated Renovated Kitchen Stainless Steel Appliances -=>", 2001-2500, 2001-2500
