,prompt,expected_completion,actual_completion
412,"Modern num-Bed w/ In-Unit Laundry & Central Air Is rent cheap, average, or expensive? <SEP>
", average, average
132,"Huge layout with King size BR! Pets! Blue Line! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
90,"Enjoy the comfort of your new num bed / num bath! Washer/dryer included! Is rent cheap, average, or expensive? <SEP>
", cheap, average
569,"$num - Ravenswood high-rise modern numbr, utilities included, avail num/num Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
443,"Amenity Rich Building Close To Red Line Lease Today num Month Free Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
223,"Updated Kitchen! Awesome one bed in PLACE Is rent cheap, average, or expensive? <SEP>
", average, average
502,"Location! Heat Included! Formal Dining Room! Updated! Ready num/num! Is rent cheap, average, or expensive? <SEP>
", expensive, average
307,"numbr - numftnum - Furnished Studio Apartment Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
85,"PLACE Condo for Rent! Pool and Fitness Center on site! Is rent cheap, average, or expensive? <SEP>
", average, average
370,"Full Amenity num Bedroom Apartment in PLACE Is rent cheap, average, or expensive? <SEP>
", average, expensive
530,"$num / numbr - Cozy One Bedroom in PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, average
578,"Updated Convertible Unit - $num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
361,"num Bed num Bath PLACE Apartment Is rent cheap, average, or expensive? <SEP>
", average, average
493,"PLACEvated num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
527,"PLACE Convertible num bedroom in GORGEOUS newer Amenity building Is rent cheap, average, or expensive? <SEP>
", expensive, average
165,"Furnished Studio in PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, average
289,"Charming & Roomy num-Bed - FREE HEAT - PLACE Is rent cheap, average, or expensive? <SEP>
", average, cheap
492,"Spectacular num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
257,"PLACE numBR Is rent cheap, average, or expensive? <SEP>
", average, cheap
17,"Modern South PLACE  num bedroom, rooftop sky deck, gym, cta Is rent cheap, average, or expensive? <SEP>
", average, average
554,"One bedroom Apartment for rent Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
550,"Historic PLACE num Bedroom Gem Is rent cheap, average, or expensive? <SEP>
", average, expensive
214,"Large PLACE num BR Condo For Rent Steps to lake, walk to everything Is rent cheap, average, or expensive? <SEP>
", cheap, average
192,"Move in fee waived! Heat, water and gas included- Dining Room Is rent cheap, average, or expensive? <SEP>
", average, average
49,"Don't miss this fabulous num Bed, num Bath! Highly desirable location! Is rent cheap, average, or expensive? <SEP>
", average, cheap
179,"Huge num Bed, Steps to Blue Line, Huge Kitchen, Pets OK Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
516,"Leland PLACE  heated num-bed on the top floor Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
362,"Spacious numbr in PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, average
350,"PLACE duplex w Laundry in unit & patio Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
411,"Luxury PLACE Market num Bedroom, W/D, Balcony, Gym, Market Is rent cheap, average, or expensive? <SEP>
", cheap, average
232,"The living is easy at Residences at PLACE  Comfortable num bed/num bath! Is rent cheap, average, or expensive? <SEP>
", average, average
261,"num North Washtenaw Ave.#num [num Bathroom] [num Bedroom] Is rent cheap, average, or expensive? <SEP>
", expensive, average
312,"AMAZING LOCATION- num BED COMPLIMENTARY FIBER INTERNET Is rent cheap, average, or expensive? <SEP>
", average, average
404,"Ravenswood numBd numBa GRNT SS DW HWF Pet Friendly W/D On-Site,Walk in Is rent cheap, average, or expensive? <SEP>
", average, cheap
172,"Large num Bed in Prime PLACE  Is rent cheap, average, or expensive? <SEP>
", average, average
543,"Astounding num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
260,"Perfected num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
273,"Impeccable Studio with Sundeck Access Is rent cheap, average, or expensive? <SEP>
", average, average
535,"Incredible num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
159,"Beautiful Updated num Bedroom Apartment Is rent cheap, average, or expensive? <SEP>
", average, average
120,"GORGEOUS LOFT-STYLE - numst fl Is rent cheap, average, or expensive? <SEP>
", average, average
29,"Furnished Studio - Great Monthly Rates! Is rent cheap, average, or expensive? <SEP>
", average, average
66,"PLACE, newly remodeled num bed/num bath plus den, yard, num/num Is rent cheap, average, or expensive? <SEP>
", cheap, average
552,"PLACE one bedroom - num S Allport - Great location Is rent cheap, average, or expensive? <SEP>
", average, cheap
487,"ONE BED with In unit laundry! Newer Construction! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
335,"num N. PLACE Ave. Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
334,"Awesome num bedroom+den unit with hardwood floors and stainless steel Is rent cheap, average, or expensive? <SEP>
", average, average
293,"Huge Concrete Loft in South PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, average
225,"Beautiful PLACE One Bedroom Loft with in unit W/D Is rent cheap, average, or expensive? <SEP>
", average, expensive
3,"One Bedroom PLUS Den with a deck! Hot PLACE Noble Square Locati Is rent cheap, average, or expensive? <SEP>
", average, average
274,"Beautiful Modern Rehab PLACE num Bedroom Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
9,"Start living large! You'll love our num bed, num bath! num Sq Ft! Is rent cheap, average, or expensive? <SEP>
", average, expensive
162,"Extremely Affordable! PLACE Hi-Rise! Free basic cable TV and intern Is rent cheap, average, or expensive? <SEP>
", average, average
413,"Ideal num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
119,"Spacious and elegant! You've found your ideal num bed / num bath! Is rent cheap, average, or expensive? <SEP>
", cheap, average
394,"Heavenly num Bedroom, num Bath in Ravenswood, Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
349,"Top of the Line Luxury Living! Amazing Neighborhood! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
124,"Boutique luxury in PLACE  numBedroom, in-unit W/D, Pool, Gym Is rent cheap, average, or expensive? <SEP>
", average, expensive
92,"Contemporary PLACE apt near Brn Line!, Free Heat, On-Site W/D Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
187,"Unreal num Bedroom, num Bath in Ravenswood, Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
218,"LOVELY num bed Vintage UPD Kith Granite-SS App! Is rent cheap, average, or expensive? <SEP>
", cheap, average
161,"West PLACE Convertible One Bedroom! Hardwood, WD, Pool, High Ceilings Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
308,"BRAND NEW CONVERTIBLE num BEDROOM IN TRENDY PLACE Is rent cheap, average, or expensive? <SEP>
", average, cheap
69,"Unblemished num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
40,"AmazingLocation!!+num Bedroom PLACE PetsOk num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
462,"num Bedroom in SL. Floor to Ceiling Windows, W/D In-Unit, Hdwd, Balcony Is rent cheap, average, or expensive? <SEP>
", average, expensive
485,"Bright num BR PLACE Apt - Quiet Street - Blue Line - Holstein Park Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
147,"Furnished Studio - Great Monthly Rates Is rent cheap, average, or expensive? <SEP>
", average, average
242,"Splendid One Bed Apt For Rent!! Inquire Asap! Is rent cheap, average, or expensive? <SEP>
", average, average
38,"Amazing num bed in PLACE with indoor pool and doorman Is rent cheap, average, or expensive? <SEP>
", expensive, average
457,"Gorgeous Rehabbed Unit! Prime PLACE Lincoln Park Location! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
464,"num Bed with amazing views of the city Is rent cheap, average, or expensive? <SEP>
", average, expensive
326,"Sunny top floor Loyola num bed w/ free heat, eat-in kitchen Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
379,"Great space for every taste. You'll love our num bed, num bath! Is rent cheap, average, or expensive? <SEP>
", average, expensive
34,"Just remodeled and outstanding condo in desirable Silver Tower PLACE Is rent cheap, average, or expensive? <SEP>
", average, average
67,"LAST LOFT ONE BEDROOM BOOK TODAY PRIVATE BALCONY Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
39,"Beautiful Condo in PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, average
558,"South PLACE num-bedroom, in-unit W/D! large windows, walk to Trader Joes Is rent cheap, average, or expensive? <SEP>
", average, average
446,"Comfortable num sq ft num bd, num ba for all your needs. Call us now! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
135,"Heat Included! Location! Dishwasher! Small Dog Ok! Is rent cheap, average, or expensive? <SEP>
", cheap, average
355,"numBedroom available in Ravenswood at PLACE Ashland avail Mid Dec! Is rent cheap, average, or expensive? <SEP>
", average, average
539,"num Block To The Redline! Heat Included! Large Floorplan! Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
453,"PERFECT num Bedroom Unit in a Luxe PLACE Building Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
62,"Wonderfully Rehabbed PLACE One bedroom! New Kitchen! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
363,"Spacious PLACE num Bedroom, Balcony, Near Red Line, Whole Foods Is rent cheap, average, or expensive? <SEP>
", average, average
285,"Appealing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
373,"Praiseworthy num Bedroom, num Bath in Ravenswood, Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
107,"Luxury num Bedroom in PLACE - Washer/Dryer, Gym On Site, Hardwood FL Is rent cheap, average, or expensive? <SEP>
", cheap, average
31,"Sizable num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, average
365,"Parking INCLUDED! num bed condo in PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, average
479,"In Unit Laundry! Luxury Hi-rise! All Amenities! Is rent cheap, average, or expensive? <SEP>
", average, expensive
465,"Sublease Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
189,"numbed / numbath Is rent cheap, average, or expensive? <SEP>
", expensive, average
244,"tunning New Rehab! Floor to Ceiling Windows! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
419,"Desirable PLACE num bedroom Convertible, Gym& Pool LAST ONE LEFT! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
5,"Come tour our beautiful num bed, num bath! Full size washer and dryer! Is rent cheap, average, or expensive? <SEP>
", average, average
59,"RARE HAMPDEN COURT ONE BEDROOM  $num Is rent cheap, average, or expensive? <SEP>
", average, average
525,"Picturesque num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
236,"Appealing num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
476,"Radiant num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
74,"PLACE num bed ,deck , parking spot , avail num-num num w belden Is rent cheap, average, or expensive? <SEP>
", average, average
407,"Stunning renovated num bed, num bath! Gorgeous floors, kitchens, & more Is rent cheap, average, or expensive? <SEP>
", average, average
436,"Gorgeous num rm num bed with deck in East Humboldt Is rent cheap, average, or expensive? <SEP>
", average, average
447,"One Month Free w/ Move in Fees Waived Book Your Tour Today Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
572,"NEW LISTING: num Bedroom, PLACE  Available: num/num/num, NEWER KITCHEN Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
173,"Updated one bed, heat included! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
441,"Heat Included! Kitchen W/Dishwasher! Dog Friendly! Ready! Is rent cheap, average, or expensive? <SEP>
", average, average
500,"Studio Apartment Available Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
531,"HEART IF PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, average
68,"Engaging num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
442,"num BEDROOM EVERYTHING BRAND NEW NO PLACE DEPOSIT ADAMS & PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
4,"Beautiful num Large Condo for Rent. large Living hall , dining hall and kitchen. Is rent cheap, average, or expensive? <SEP>
", expensive, average
160,"Extraordinary num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
406,"num Bedroom Aparment Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
19,"Incredible One Bed Apartment In The PLACE  Schedule Your Tour! Is rent cheap, average, or expensive? <SEP>
", average, average
524,"Large garden apartment in convenient location! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
117,"Beautiful South PLACE Apartment Is rent cheap, average, or expensive? <SEP>
", cheap, average
180,"Converted studio Apartment in PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
78,"Beautiful unit w washer/dryer, stainless appliances, and huge pool Is rent cheap, average, or expensive? <SEP>
", expensive, average
430,"Bright numbr Near PLACE Dr. Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
483,"PLACE num Bedroom with Everything Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
506,"Amazing num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
42,"Amazing num bed in PLACE with w/d in unit and walk in closets Is rent cheap, average, or expensive? <SEP>
", expensive, average
467,"Precious num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
470,"Gorgeous Gut rehab! Laundry in the unit! Is rent cheap, average, or expensive? <SEP>
", average, average
237,"Sunny PLACE num-Bed  FREE HEAT! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
133,"PLACE numBD numBA PLACE GRNT S/S DW HWF CENTRAL AIR W/D IN-UNIT Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
195,"num Bed num Bath Condo for rent PLACE Is rent cheap, average, or expensive? <SEP>
", average, average
434,"Luxe num Bed - In Unit WD - massive windows - sauna hot tub Is rent cheap, average, or expensive? <SEP>
", expensive, average
328,"Condo quality One Bedroom w/ Central AC on Leland Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
510,"Luxury num Bedroom apartment in PLACE  W/D in unit and Rooftop Is rent cheap, average, or expensive? <SEP>
", average, expensive
514,"West PLACE Jr. num-bedroom! In-unit W/D, num-block to Jewel, numhr doorstaff Is rent cheap, average, or expensive? <SEP>
", average, cheap
375,"Great location right by the Lake, numbed/numbath in PLACE for April! Is rent cheap, average, or expensive? <SEP>
", average, cheap
305,"Floor to Ceiling Windows! Stunning New Rehab! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
494,"Recently Remodeled num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, average
291,"Location/Price and W/D In unit Studio  PLACE park Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
233,"Amazing num Bedroom, PLACE  InUnit Laundry, Pets OK Is rent cheap, average, or expensive? <SEP>
", average, average
157,"Newly updated! num bed w/ dishwasher, king-sized bedroom, free heat Is rent cheap, average, or expensive? <SEP>
", average, average
16,"numBR/numBA Luxury Apartment in PLACE Is rent cheap, average, or expensive? <SEP>
", average, expensive
559,"Location! Heat Included! Dishwasher! Small Dog Ok! Ready Now! Is rent cheap, average, or expensive? <SEP>
", average, average
201,"Matchless num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, average
403,"Private num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", cheap, average
207,"PLACE Convertible (Internet and Water included) Is rent cheap, average, or expensive? <SEP>
", average, cheap
102,"numb with stainless and granite Is rent cheap, average, or expensive? <SEP>
", cheap, average
577,"num Bedroom Apartment- $num/ parking available for additional fee Is rent cheap, average, or expensive? <SEP>
", average, average
555,"Huge num Bed, Living + Dining Rm EZ walk to PLACE Blue Line,, Pets OK Is rent cheap, average, or expensive? <SEP>
", average, cheap
428,"West PLACE num Bedroom- Close to Everything With Luxury Amenities! Is rent cheap, average, or expensive? <SEP>
", average, average
146,"Perfect South PLACE Location! Private Balcony! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
429,"PLACE One Bedroom Apartment For Rent! Contact us! Is rent cheap, average, or expensive? <SEP>
", average, average
437,"Cheerful num Bedroom, num Bath in Ravenswood, Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
224,"Stylish num Bed +Den/ num Bath Apartment in Hip PLACE Neighborhood Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
128,"--PRIME LOCATION- PLACE -num BED num BATH--TOP FLOOR--ROOF DECK-- Is rent cheap, average, or expensive? <SEP>
", average, average
247,"Mammoth num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
440,"Incredible num Bedroom PLACE Location! Private Balcony! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
110,"Beautiful and Affordable! PLACE Park Location! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
396,"num  Spacious numBed just put on the market! Heat/Cooking Gas Incld Is rent cheap, average, or expensive? <SEP>
", expensive, average
311,"num bedroom with Den new rehab heat included lots of light Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
395,"In Unit Laundry! Total Rehab! Is rent cheap, average, or expensive? <SEP>
", average, average
540,"Amazing PLACE Convertible num-Bedroom, In-Unit W/D and Gym!! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
517,"Captivating On Carmen! Top Floor numBR/numBA Available! Is rent cheap, average, or expensive? <SEP>
", expensive, average
142,"ROOFTOP POOL & GRILLS, DOG RUN, BALCONY, ON SITE GYM, W/D IN UNIT Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
426,"South PLACE num Bedroom! W/D In-Unit, Hdwd, Balcony Is rent cheap, average, or expensive? <SEP>
", average, average
6,"Location! Formal Dining Room! Heat Included! Ready Now! Is rent cheap, average, or expensive? <SEP>
", expensive, average
249,"num Bedroom Available in Prime PLACE Location w/ Amenities! Is rent cheap, average, or expensive? <SEP>
", average, average
11,"Updated Kitchen & Bath! HVAC! In Unit Laundry! Ready Now! Is rent cheap, average, or expensive? <SEP>
", average, average
284,"In Unit Laundry! Gut Rehab numBD/numBa With New Kitchen! Is rent cheap, average, or expensive? <SEP>
", expensive, average
400,"PLACE apartment for rent with PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
267,"PLACE num-Bed w/ Laundry In-Unit & Central Air! Is rent cheap, average, or expensive? <SEP>
", expensive, average
58,"PLACE Completely Updated One bedroom with garage parking Is rent cheap, average, or expensive? <SEP>
", average, expensive
498,"Updated, Charming num-Bed * Roscoe Village * Central Air Is rent cheap, average, or expensive? <SEP>
", expensive, average
541,"** New num Bedroom Apartment in PLACE ** Avail Thru June numst Is rent cheap, average, or expensive? <SEP>
", average, average
444,"LARGE num-Bed- Tons Of Amentities Is rent cheap, average, or expensive? <SEP>
", average, expensive
186,"Pristine PLACE numBD With HEAT INCLUDED! No PLACE Deposit! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
344,"One Bed in PLACE Hirise! Great Layout and Building Amenities! Is rent cheap, average, or expensive? <SEP>
", average, average
505,"Studio Apartment Available Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
246,"Unique/Spacious num Bed w/ Exposed Brick! Is rent cheap, average, or expensive? <SEP>
", expensive, average
101,"PLACE numBd numBa Quartz SS DW HWF A/C W/D In-Unit Pets OK Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
258,"PLACE's Newest Property! Currently Offering num Month Free Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
104,"Bright PLACE num Bedroom Heat Included Cats ok num/num $num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
575,"Gorgeous num Bedroom in Great PLACE Location Is rent cheap, average, or expensive? <SEP>
", expensive, average
499,"East PLACE num Bedroom! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
341,"Wonderful num bed / num bath in prime location! Close to everything! Is rent cheap, average, or expensive? <SEP>
", expensive, average
18,"Quality num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, average
168,"Wonderfully Rehabbed PLACE One Bedroom! New Kitchen! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
339,"Modern PLACE num-bed - Amazing Location! Is rent cheap, average, or expensive? <SEP>
", average, average
121,"Sunny, top floor num bedroom, num bath - num months re-let lease Is rent cheap, average, or expensive? <SEP>
", average, cheap
473,"Great numBR in Downtown PLACE - Parking Included Is rent cheap, average, or expensive? <SEP>
", cheap, average
423,"num BR loft in PLACE (incl cable/internet) Is rent cheap, average, or expensive? <SEP>
", average, cheap
388,"FOR RENT - num S Justine St - numR Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
378,"Amazing Rehabbed num Bed w/ In unit WD & Central Air Is rent cheap, average, or expensive? <SEP>
", average, average
580,"One bedroom apartment in PLACE $num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
420,"Lavish lifestyle amenities! Stunning luxury community! num Bed, num Bath Is rent cheap, average, or expensive? <SEP>
", average, expensive
80,"Newly-Renovated num Bedroom in PLACE  Dishwasher, Hardwood, Gym! Is rent cheap, average, or expensive? <SEP>
", average, average
46,"A Convertible/ Studio apartment in south PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
286,"Excellent num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
526,"Updated num Bed num Bath in PLACE with Roof deck Is rent cheap, average, or expensive? <SEP>
", expensive, average
93,"Astounding num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, average
213,"num BEDROOM EVERYTHING BRAND NEW NO PLACE DEPOSIT PLACE & PLACE Is rent cheap, average, or expensive? <SEP>
", average, average
501,"*Brand New Everything* numBd/numBa in PLACE  In-Unit Laundry! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
81,"Classic num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
241,"Spacious Courtyard One Bed w/ HEAT INCLUDED! Is rent cheap, average, or expensive? <SEP>
", average, cheap
576,"Amazing num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", expensive, average
314,"Modern, Eco Friendly South PLACE Jr. num bedroom. W/D, Balcony, Hwd, Gym Is rent cheap, average, or expensive? <SEP>
", average, average
346,"East PLACE num-Bed - FREE HEAT! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
245,"Appealing num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
115,"Gut-Rehabbed num BR in Prime PLACE Location; Pets OK! Is rent cheap, average, or expensive? <SEP>
", expensive, average
376,"Spacious PLACE Studio with lake views and in unit W/D Is rent cheap, average, or expensive? <SEP>
", cheap, average
564,"Affordable! One bed in PLACE  HEAT AND GAS FREE! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
277,"Completely Redesigned New Building With numbed available! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
488,"Unrivaled num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
385,"Lovely PLACE Hirise for a Great Rate! Full Amenities! Is rent cheap, average, or expensive? <SEP>
", cheap, average
139,"Brewery Lofts #num num Bed AVAIL num.num $num,num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
106,"Ground Floor Renovated num-Bed in Superb Location! Heat & Water Included Is rent cheap, average, or expensive? <SEP>
", average, average
82,"Sunny One Bedroom One Bathroom in PLACE Square Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
204,"Wonderfully Rehabbed PLACE Two bedroom! New Kitchen! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
221,"Extra Large One Bedroom Is rent cheap, average, or expensive? <SEP>
", average, expensive
374,"PLACE Views! num Bedroom, Prime Location, Gym, Rooftop Deck, New! Is rent cheap, average, or expensive? <SEP>
", average, average
88,"Premium Luxury num Sq Ft, num Bed / num Bath in PLACE Heights Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
185,"PLACE West PLACE brand new num BR remodel Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
318,"Laundry in unit !num Bedroom in PLACE  Swimming Pool! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
414,"Furnished Studio Is rent cheap, average, or expensive? <SEP>
", average, average
351,"Modern Loft Style Jr. num Bedroom in South PLACE  W/D in unit! Is rent cheap, average, or expensive? <SEP>
", cheap, average
95,"Classic num bedroom with office near PLACE and Ukranian Village Is rent cheap, average, or expensive? <SEP>
", average, average
424,"Luxury num bedroom in full Amenity Building Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
402,"New Rehab num Bedroom, num Bath Available num/num/num! Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
