,prompt,expected_completion,actual_completion
421,"Please contact PERSON PERSON at CARDINAL - num - num to schedule a showing . Huge CARDINAL br/numba apartment in heart of FAC FAC with in - unit washer and dryer AVAILABLE CARDINAL . Brand new stainless appliances and beautiful hardwood floors with vaulted ceilings and plenty of natural light . Walking distance to ORG red line , the lakefront trail , grocery stores , and restaurants . Also , just a few steps away from the legendary ORG ORG ORG , and a piece of GPE history , GPE GPE . No pets but the landlord may consider cats . Parking spots are available at $ MONEY extra per month , the parking lot is next door . Presented by ORG ORG ORG , GPE IL Is rent cheap, average, or expensive? <SEP>
", average, average
345,"ORG ORG ORG AVAILABLE NOW ! Memorable CARDINAL bedroom , CARDINAL bathroom in beautiful GPE courtyard building features newer kitchen , spacious living area , large bedroom , great closet space , newer bathroom , laundry in building , hardwood floors throughout , and pets welcome ! ' , "" WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART , Trader PERSON 's , and near downtown ORG shops and restaurants ! "" , ' UAnum Please Call PERSON PERSON at num/num - num\unumc to schedule an appointment to view this apartment and mention Apartment ID : num . Urban Abodes num.num.num < URL > num N. PLACE Avenue GPE , ORG ORG ORG ORG ORG Is rent cheap, average, or expensive? <SEP>
", average, average
0,"Call Apartment Guys at CARDINAL - num - num and ask for reference # MONEY . This beautifully rehabbed apartment has new quartz countertops , stainless steel appliances including a dishwasher and microwave , new hardwood floors and enjoy the amazing view from your balcony ! Prices are subject to change . * * * Photos may be of a similar unit.****For faster response best to call or text CARDINAL - num - num with reference # num Is rent cheap, average, or expensive? <SEP>
", expensive, average
435,"Residences at GPE Heights num S Goebbert Rd GPE GPE , IL num Pricing : $ MONEY - $ num / Month * Bedrooms : CARDINAL Bathrooms : num Square Footage : QUANTITY QUANTITY QUANTITY ( CARDINAL ) num - num Features in this apartment home : PRODUCT PRODUCT , Deck or Patio ● PRODUCT PRODUCT or Eat - in Kitchen ● Dishwasher ● Heat and Air Conditioning ● Stainless Steel Appliances ● ORG ORG ● Walk - in Closets ● Wood Floors About the community : YES , WE ARE OPEN ! CALL NOW TO SCHEDULE AN IN - PERSON TOUR ! OR LET US SHOW YOU THROUGH FACETIME ! We offer the perfect location with FAC , FAC and PERSON PERSON PERSON PERSON located TIME TIME away from our community . At The Residences at GPE GPE , residents are able to take advantage of our location by indulging in nearby shopping , dining , entertainment , and more ! The GPE is our biggest CARDINAL bedroom unit at QUANTITY QUANTITY QUANTITY . It features a spacious living area and either a patio or balcony . Amenities at our property : ● PRODUCT ● ORG ORG ● Grill ● ORG ORG ● Online Payments Available ● Planned Social Activities ● Playground ● ORG ORG ORG ● Walking / Biking Trails ● Wi - Fi at Pool and Clubhouse ● TIME TIME TIME TIME - Floor Fitness Center with State - of - the - Art Equipment ● TIME TIME TIME Emergency Maintenance ● TIME TIME TIME Maintenance Commitment ● Brand New Luxurious Clubhouse ● PERSON and num - Lane Bowling Alley ● FAC FAC FAC * * DATE Only ● Pet - Friendly Large Dogs Accepted ● Resort Style Heated Pool Surrounded by Relaxing Chaise Furnishings Additional information : Terms : DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE Pets : Breed Restriction;Weight Restriction;Available in select buildings . We charge a $ MONEY fee per pet . We also charge $ MONEY for pet rent for each pet DATE . Pet Types : Cats and Dogs Breed restrictions apply . Weight restriction : CARDINAL CARDINAL CARDINAL lbs on the ORDINAL floor . Maximum pets per unit : CARDINAL Website : < URL>/ Phone : ( CARDINAL ) num - num Professionally managed by ORG ORG ORG ORG ORG are subject to change without notice EQUAL HOUSING PLACE FCnumDnumCnumFnum Is rent cheap, average, or expensive? <SEP>
", expensive, average
250,"Come home to a great community - Residences at GPE ! Address : CARDINAL ORG ORG ORG , IL num Beds : CARDINAL   / Baths : num / Size : CARDINAL sq ft DATE Rent : MONEY MONEY MONEY MONEY num YES , WE ARE OPEN ! CALL NOW TO SCHEDULE AN IN - PERSON TOUR ! OR LET US SHOW YOU THROUGH FACETIME ! With Residences at FAC FAC you will be sure to find the perfect home to fit your lifestyle . Our luxury PLACE , IL Apartment complex offers a variety of floor plan options with CARDINAL , CARDINAL , and CARDINAL bedroom units available . Whether you are hosting a small dinner party or relaxing at home alone , our units are spacious enough to accommodate any size gathering . Call us DATE to schedule a tour ! ORG ORG : $ MONEY Length of Lease : DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE ( CARDINAL ) CARDINAL CARDINAL CARDINAL Property Features : ❖ PLACE Games Room ❖ GPE GPE ❖ Online Payments Available ❖ ORG ORG ❖ ORG ORG ❖ ORG ORG ❖ ORG ORG ❖ ORG ORG ❖ ORG ORG ORG ❖ ORG ORG , Free Weights , Peloton Bike and more ! ❖ ORG ORG ❖ New TIME TIME TIME State - of - the - Art Fitness Center ❖ Pet Friendly Bark Park ❖ ORG ORG ORG ORG ORG ORG ❖ Resort Style Heated Pool with Luxurious PERSON ( Coming Soon ) ❖ ORG ORG ORG ORG : ❖ Balcony or Patio ❖ ORG ORG ❖ ORG ORG ( select units ) ❖ In - Home Washer / Dryer ❖ FAC FAC ( select units ) ❖ PERSON PERSON ( select units ) ❖ ORG ORG ORG ( select units ) ❖ Walk - in closets ( select units ) ❖ ORG ORG ❖ Balcony or Patio ❖ ORG ORG ❖ ORG ORG * ❖ In - Home Washer / Dryer ❖ LOCATION Back ❖ GPE GPE * ❖ ORG ORG ORG ❖ ORG ORG ORG * ❖ Walk - in closets * Pets : Breed Restriction;We allow pets for a pet fee of $ MONEY per pet and rent of $ MONEY per pet per month . Business Hours : Mon - Fri : TIME TIME TIME TIME TIME Sat : TIME TIME TIME TIME TIME Ready to PERSON ? Call our office at ( CARDINAL ) CARDINAL CARDINAL CARDINAL Website : < URL>/ Proudly managed by ORG ORG ORG ORG ORG ORG ORG Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
292,"Call PERSON PERSON with Apartment Guys at CARDINAL - num - num and ask for reference # MONEY Stunning PLACE rehabbed CARDINAL bedroom with custom - made cabinets , stainless steel appliances , and hardwood floors . ' , "" Do n't worry about walking to a gym when yours is just an elevator ride away . "" , ' The laundry is in the building . Positioned just CARDINAL blocks from a GPE , TIME TIME walk to the red line , and PERSON beach at your backdoor . Prices are subject to change.***Photos may be of a similar unit.****For faster response best to call or text PERSON PERSON at CARDINAL - num - num with reference # MONEY Is rent cheap, average, or expensive? <SEP>
", cheap, average
409,"FAC FAC FAC , num Bath CARDINAL PERSON PERSON Available : MONEY MONEY MONEY per Month Awesome CARDINAL bedroom CARDINAL bathroom in the heart of PRODUCT ! Unit features rehabbed kitchen with granite countertops , stainless steel appliances , dishwasher , spacious living area with ceiling fan , hardwood floors throughout , large bedroom , great closet space , rehabbed bathroom , pets are welcome , and on site laundry room ! Walking distance to nightlife , shopping , transportation , and more ! UAnum Heat Included : No Air Conditioning : No Dishwasher : Yes Laundry : In Building Flooring : Hardwood Parking : Street Pets : Cats and Dogs OK Square Feet : CARDINAL Apartment ID : DATE Please call or text PERSON PERSON PERSON at CARDINAL - num\unumc to schedule an appointment to view this apartment and mention the Apartment ID above . Urban Abodes num.num.num < URL > num N. PLACE Avenue GPE , ORG ORG ORG ORG ORG Is rent cheap, average, or expensive? <SEP>
", cheap, average
425,"Check out this fantastic apartment ! Schedule a tour now ! Looking for gorgeous modern home with amazing floor to ceiling windows , great light and fabulous city views ? Found it ! This spacious sunny num sq ft CARDINAL bedroom home is has perfect layout and best location in the heart of LOC LOC , steps to everything ! ' , "" Short walk to ORG ORG , LOC and parks , LOC LOC LOC , CARDINAL block to PERSON 's , bus stop in front , ORG trains a few blocks away . "" , ' Spacious granite kitchen has stainless appliances , great cabinet space and opens to sunlit widest living room . Huge private balcony , perfect for grilling or enjoying cool urban views ! Large bedroom has oversized walk in closet . Ample closet space . In unit ORG ORG ORG . Heated garage space is extra $ MONEY . Rent includes large storage locker , heat , ORG , high speed Internet , water . Available immediately . Could be rented furnished or unfurnished . Call OR Text us at ( CARDINAL ) CARDINAL - num with your move in date , budget , location and CARDINAL of beds / baths Is rent cheap, average, or expensive? <SEP>
", average, average
197,"PROPERTY INFO ID : DATE Rent : $ MONEY / Month Beds : CARDINAL Bath : CARDINAL Available Date : num/num/num Broker Fee : ORG ORG ORG ORG ORG ORG ORG ORG : : Electricity Apartment Features : •\tKITCHENS INSPIRED BY DESIGNER PERSON PERSON PERSON •\tPRIVATE BALCONIES •\tLARGE WINDOWS OVERLOOKING LAKE MICHIGAN AND DOWNTOWN •\tnum’-num ’ CEILINGS •\tQUARTZ COUNTERTOPS •\tWHITE PREMIUM SOFT CLOSE ORG ORG ORG ORG ORG •\tGE STAINLESS STEEL APPLIANCES •\tSTAINLESS STEEL ISLAND RANGE HOODS •\tGROHE CONCETTO FAUCETS •\tUNDERMOUNT LAW LAW PERSON PERSON PERSON PERSON FLOORING THROUGHOUT APARTMENTS •\tWALK - IN CLOSETS WITH ORGANIZER SYSTEMS •\tNEST PROGRAMMABLE THERMOSTATS Building Amenities : •\tSUN TERRACE WITH CABANAS •\tOUTDOOR POOL AND SPA •\tCOFFEE BAR •\tENERGY STAR ® CERTIFIED •\tLEED SILVER CERTIFICATION •\tOUTDOOR GRILLS WITH INTIMATE SEATING AREAS •\tFITNESS CLUB WITH YOGA STUDIO AND PRIVATE PHYSICAL THERAPY STUDIO •\tRESIDENT LOUNGE WITH DEMONSTRATION KITCHEN •\tBUSINESS CENTER AND CONFERENCE ROOM WITH PRESENTATION SCREEN •\tSTATE - OF - THE - ART SCREENING TV WITH SURROUND SOUND •\tELECTRONIC ACCESS CONTROL •\tEXPANSIVE DOG RUN TIME TIME TIME CONCIERGE •\tSECURED ACCESS RESIDENT PARKING GARAGE •\tBICYCLE STORAGE AND “ KITCHEN ” WITH SUPPLIES , TOOLS AND AIR PUMP •\tSMOKE - FREE COMMUNITY •\tEV CHARGING STATIONS •\tCOMPLIMENTARY MOVING ASSISTANCE THROUGH UPDATER FEATURES Communal Grill Dog Run Dog Spa Fitness Center Gas Stove Hot Tub / Jacuzzi Pool - Outdoor Roof Top Lounge W / D in Unit No Broker Fees . ORG ORG . Pricing , specials and availability subject to change ; restrictions may apply . Contact Agent for Details . Pictures may be representative . ORG ORG ORG . Is rent cheap, average, or expensive? <SEP>
", average, expensive
41,"PROPERTY INFO ID : num Rent : $ MONEY / Month Beds : CARDINAL Bath : CARDINAL Available Date : num/num/num Pet : No Pets Rent Includes : : Heat , Water Bright , renovated apartment . CARDINAL - bedroom / CARDINAL - bath . Vintage with refinished original GPE cabinet in dining room and PERSON bed closet ( now for entertainment center et al ) in living room . Separate dining room and living room . Hardwood floors , hardwood trim , renovated kitchen with dishwasher , microwave , range , and refrigerator . The unit will be painted with a gray on walls , white trim , and white ceilings . FAC FAC . GPE are large CARDINAL and CARDINAL bedrooms ; heat and water included ; hardwood floors ; foyer ; closets in foyer and bedrooms(s ) ; living room , full dining room ; kitchen with pantry ( some dishwashers ) and ceramic baths with showers . PERSON room on premises with ORG washers and dryers . Some units have rear enclosed porches . Controlled entries with intercom connections through the phone . New thermopane windows . New and upgraded rear stairs . FEATURES ORG ORG ( Decorative ) Hardwood Floors Heat Included High Ceiling Radiator Heat Greg Firak Leasing Agent CARDINAL - num - num The Apartment Source Call or text : num.num.num Is rent cheap, average, or expensive? <SEP>
", average, average
439,"Residences at FAC FAC Featured Floorplan : CARDINAL - bed / num - bath / QUANTITY QUANTITY ft DATE Rent : $ num - $ num Deposit : $ MONEY ( CARDINAL ) num - num Description : YES , WE ARE OPEN ! CALL NOW TO SCHEDULE AN IN - PERSON TOUR ! OR LET US SHOW YOU THROUGH FACETIME ! Start your next chapter at The Residences at GPE GPE and prepare to indulge in our top - of - the - line amenities . Our residents can also enjoy access to a playground and gazebo . ' , "" At The Residences at GPE GPE , there 's something for everyone ! "" , WORK_OF_ART WORK_OF_ART WORK_OF_ART is a CARDINAL bedroom , CARDINAL bath apartment with a spacious living area and either a patio or balcony . Lease Terms : DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE , DATE DATE DATE DATE DATE : Breed Restriction;Weight Restriction;Available in select buildings . We charge a $ MONEY fee per pet . We also charge $ MONEY for pet rent for each pet DATE . Pet Types : Cats and Dogs Breed restrictions apply . Weight restriction : CARDINAL CARDINAL CARDINAL lbs on the ORDINAL floor . Maximum pets per unit : CARDINAL Apartment Amenities : ❖ Balcony , Deck or Patio ❖ PRODUCT PRODUCT or Eat - in Kitchen ❖ Dishwasher ❖ Heat and Air Conditioning ❖ ORG ORG ORG ❖ ORG ORG ❖ Walk - in Closets ❖ ORG ORG ORG ORG : ❖ ORG ❖ ORG ORG ❖ ORG ❖ ORG ORG ❖ ORG ORG ORG ❖ Planned ORG ORG ❖ Playground ❖ ORG ORG ORG ❖ ORG ORG ORG ORG ❖ FAC FAC FAC FAC FAC FAC FAC ❖ TIME TIME TIME TIME - Floor Fitness Center with State - of - the - Art Equipment ❖ TIME TIME TIME Emergency Maintenance ❖ TIME TIME TIME Maintenance Commitment ❖ Brand ORG ORG ORG ❖ ORG and num - Lane Bowling Alley ❖ FAC FAC FAC * * DATE Only ❖ ORG ORG ORG ORG ORG ORG ❖ Resort Style Heated Pool Surrounded by Relaxing Chaise Furnishings Call us : ( CARDINAL ) num - num num S Goebbert GPE GPE GPE , IL num Mon - Fri : TIME TIME TIME TIME TIME Sat : TIME TIME TIME TIME TIME Website : < URL>/ EQUAL HOUSING PLACE CnumAnumDnumA Is rent cheap, average, or expensive? <SEP>
", average, average
306,"Top floor , CARDINAL bedroom + den with large deck available DATE DATE ! Incredible location near transportation , coffee shops , bars , restaurants , clothing stores , book shops , gyms , the park , and more ! $ MONEY / month No PLACE deposit $ MONEY move - in fee Cats allowed , no dogs W / D in building Storage available in basement ( free ! ) Large private deck Is rent cheap, average, or expensive? <SEP>
", average, cheap
412,"PROPERTY INFO ID : CARDINAL Rent : $ MONEY / Month Beds : CARDINAL Bath : CARDINAL Available Date : num/num/num Pet : Cats Allowed Parking : : street parking Take a virtual tour ! : < URL > - Rehabbed num - bed - Laundry in - unit - Central A / C - Modern galley kitchen - SS Appliances - Dishwasher - Microwave - Updated bathroom - Queen - sized bedroom - Hardwood floors - Back deck ORG ORG ORG - In - unit laundry - Central Air - Zero PLACE Deposit - TIME TIME TIME Emergency Call Center - Cat friendly ! - Newer windows - Nearby bus lines : # MONEY , # MONEY , # MONEY , # MONEY - Less than a quarter - mile to ORG ORG ORG ORG ORG ORG of shops and restaurants in the neighborhood ORG Properties has been proudly managing apartments since DATE . Call ORG ORG ORG ORG for details or to arrange for a showing @ CARDINAL PRODUCT PRODUCT PRODUCT . To see a list of other ORG properties , visit our website @ < URL > FEATURES Air Conditioning Central Air Central Air Conditioning Close to ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG in ORG ORG ORG ORG ORG ORG ORG ORG Modern Kitchen Modern Rehab Near Bus Lines New / Renovated Bath New / Renovated Kitchen New Appliances New Windows Refrigerator Rehab Renovated Renovated Kitchen Separate Kitchen Stainless Steel Appliances Stove VIDEO WALK THROUGH ORG ORG ORG in Unit Is rent cheap, average, or expensive? <SEP>
", average, cheap
132,"ORG ORG ORG . Ample natural light . Kitchen features full size white fridge & gas stove . Separate Living Area . Hardwood floors throughout . Cooking Gas , Heat & Water included . Cats & medium dogs welcome . ORG ORG ORG ! $ MONEY Move - in fee ! TIME TIME TIME walk to FAC FAC FAC FAC ! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
