,prompt,expected_completion,actual_completion
173,"Call or text Gregory from Apartment Guys at 773-899-5505 and ask for reference #75443. Incredibly priced River North  one bedroom available with a large private Balcony! This apartment also has  floor to ceiling windows, large walk in closets and a modern kitchen with a dishwasher. The unit also has central air conditioning and plush carpeting! This is a amazing price considering this modern building also has a fitness center, outdoor swimming pool, dry cleaners, and doorstaff. Garage parking is also available. ***Photos may be of a similar unit.* *** For faster response best to call or text 773-899-5505 with reference #75443 Is rent cheap, average, or expensive? <SEP>
", average, average
434,"4614 N. Paulina Ravenswood Unforgettable Ravenswood one bedroom one bathroom features cooking gas included, new kitchen with espresso cabinets, staibnless steel appliances, microwave, combination living and dining rooms with ceiling fan, spacious bedroom, amazing closet space, gorgeous hardwood floors throughout, new bathroom, laundry room in building, and pets are welcome! Walking distance to shopping, nightlife, transportation, and more! UA1701 Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 24005. Urban Abodes 215/499-1336 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, cheap
314,"Stylish one-bedroom apartment available for sublet in Printer's Row from March 1, 2023 to June 26, 2023. Rent is PRICE per month. Building amenities include a gym, pool, ample co-working spaces, courtyard with grills and firepit, dog park, and additional parking available for an extra cost. This modern apartment features an open-concept layout, with plenty of natural light and fantastic views. The apartment features an in-unit washer/dryer and dishwasher. The apartment is a three-minute walk to the Harrison Red Line stop and near many bus stops. It's the perfect spot for anyone looking for a comfortable and convenient place to call home. The option to renew lease after the initial sublet period is available. Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
88,"Call or Text Danielle at (312) 339-6241 Apartments Feature: -Huge Dining Room -Stainless Steel Appliances -Oak Cabinets -Quartz Countertops -Ceramic Tiled Bathrooms -Hardwood Floors Throughout -On-site Management and Maintenance Off Street Parking Available! Five minute walk to South Boulevard Purple Line. Close to Ridgeville Park, Reba Park, and Eiden Park. Near downtown Evanston, great shopping and dining. Neighboring Wilmette, Rogers Park, Skokie, West Rogers Park, Lincolnwood, Northwestern University and Saint Francis Hospital. Utility package additional PRICE covers heat, water, and trash. Tenants pays electricity and cooking gas separately. Visit our website at <URL> for more information and similar apartments. Is rent cheap, average, or expensive? <SEP>
", average, average
47,"Ravenswood - Sunny 1 Bed with Heat Included! Original hardwood floors and details in this property! Abundant light and views of the beautiful courtyard! Great closets and storage! Excellent location with access to Montrose Brown Line and Ravenswood Metra Station! Close to local shops, restaurants and Mariano's/LA Fitness. 2 Laundry Rooms in building, Bike Room, Storage Included, Cats welcome. Cosigners Welcome. Is rent cheap, average, or expensive? <SEP>
", cheap, average
491,"Lincoln Park 1 Bed, 1 Bath 625 W. Wrightwood Available: 6/1/2023 PRICE per Month Bright one bedroom one bathroom in the heart of Lincoln Park! Unit features heat and gas included, new kitchen with granite countertops, stainless steel appliances, dishwasher, microwave, separate dining area, spacious living room, built in AC unit, large bedroom with ceiling fan, awesome closet space, hardwood floors throughout, new bathroom, and pets are welcome. Building features laundry room, year round shared community deck with fire pit, and just steps to shopping, nightlife, transportation, and more! UA1701 Heat Included: Yes Air Conditioning: Yes Dishwasher: Yes Laundry: In Building Flooring: Hardwood Parking: Yes Pets: Cats and Dogs OK Square Feet: 700 Apartment ID: 27309 Please call or text Matt Byars         at 708/870-1755‬ to schedule an appointment to view this apartment and mention the Apartment ID above. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
409,"4614 N. Paulina Ravenswood Phenomenal Ravenswood one bedroom one bathroom features cooking gas included, rehabbed kitchen with espresso cabinets, stainless steel appliances, breakfast bar, large combination living and dining rooms with ceiling fan, spacious bedroom, amazing closet space, gorgeous hardwood floors throughout, rehabbed bathroom, laundry room in building, and pets are welcome! Walking distance to shopping, nightlife, transportation, and more! UA1701 Please Text or Call Michael Maneykowski at 323/840-4067 to schedule an appointment to view this apartment and mention Apartment ID: 23548. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, cheap
124,"535 W. Briar Lakeview Cool one bedroom, one bathroom in the heart of Lakeview features heat and cooking gas included, updated eat in kitchen with new cabinets, dishwasher, large living area, king sized bedroom, great closet space, updated bathroom, hardwood floors, individually controlled AC units, laundry room in building, cats welcome, elevator in building, and parking is available! Please Call Andrew Duquaine at 765/617-4874 to schedule an appointment to view this apartment and mention Apartment ID: 27389. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", cheap, average
346,"PROPERTY INFO 536 W Arlington Pl Rent: PRICE/ Month Beds: 1 Bath: 1 Available Date: 10/15/2022 Renovated 1 bedroom apartment featuring hardwood floors, updated kitchen & bath. Laundry in-unit. Pet friendly building. Close to transportation, shopping, restaurants and nightlife of Lincoln Park! FEATURES Cats OK Dishwasher Dogs OK Hardwood Floors Pet Friendly Fulton Grace Chicago, IL <URL> Leasing Agent:  Absalom Givens License #: 473018524 Phone: (708) 495 -1137 Is rent cheap, average, or expensive? <SEP>
", average, average
187,"PROPERTY INFO ID: 187331065 Rent: PRICE / Month Beds: 1 Bath: 1 Pet: Pet Friendly Rent Includes:: Internet One bed in Edgewater featuring: - luxury finishes - hardwood floors throughout - modern bathroom and kitchen - stainless steel appliances including dishwasher and microwave - pet friendly - laundry on site - large balcony - The Edge at Sheridan is located on Sheridan Road across from Lane Beach. In addition to features like complimentary WiFi and real hardwood flooring, The Edge boasts spectacular views of Chicago's famous lakefront. Following a complete top to bottom 2018 modernization, this luxury rental community boasts all the amenities one would expect. FEATURES Balcony Bike Room/Bike Trails Cats Ok Ceiling Fans Central Air Central Heat Dishwasher Dogs Ok Elevator Garage Parking Available Internet Included Microwave On-Site Laundry Package Receiving Quartz Countertops Spacious Closets Stainless Steel Appliances Track Lighting The Apartment Source Text for quicker response 773-404-9900 Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
571,"Large 1 bed in Ravenswood Manor. Newly Renovated! Spacious apartment features new laminate floors throughout, spacious living and eat-in kitchen, king size bedroom, radiator heat is included! Covered Steps lead to Very Clean Laundry facilities and Storage located on-site (additional fee). Cats welcome. Just steps away from the VERY quiet Francisco Brown Line stop. Is rent cheap, average, or expensive? <SEP>
", average, average
477,"PROPERTY INFO ID: 9052906 Rent: PRICE / Month Beds: 1 Bath: 1 Pet: Pet Friendly Parking:: attached garage Located 1 block from the Roosevelt Red-Line stop. Walking distance to Costco, Trader Joes, and Target Text/Call/Email Gil for quick responses! 773-849-0294 This unique urban mid-rise integrates luxury apartment living with a multitude of on-site restaurants and shops, including an ICON movie theatre. Whole Foods, Target and Trader Joe’s are easy walks from this first-of-its-kind mixed-use development in the South Loop. A destination for urbanites who want to be in the action, it’s also a commuter’s paradise with the CTA Green, Orange and Red Lines within a 5-minute walk and Lake Shore Drive and I-90/94 a 5-minute drive. While the energy around this property is electric, inside you have a residents-only fitness center, loft lounge with billiards and a beautifully landscaped rooftop terrace. Enjoy this 100% smoke-free environment with 24-hour concierge, security and maintenance right at your fingertips. Smart, urban loft design with balconies! That’s probably everything you need to know, but these bright, open apartment homes have lots of windows, 10’ ceilings and gorgeous hardwood flooring. Gourmet kitchens include granite and stainless and bathrooms showcase custom tilework and rainshower fixtures. The spacious layouts with walk-in closets also include in-unit washers and dryers. Parking is available on-site at an additional charge. Cats and dogs are accepted throughout (dog breed restrictions apply, but there is no weight limit). FEATURES Balcony-All Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Lofted (Open)-Some Bedrooms Luxury Property Security-24 Hour Doorman Smoking-No Stove-Gas Gil Clark 773-849-0284 HotSpot Rentals Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
189,"Spacious one bedroom apartment, hardwood floors in Rogers Park.  Subletting the apartment in starting October 1st for PRICE/a month upon credit approval from landlord. Reply to this post for a viewing, pictures are below. Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
165,"2446 W. Thomas Ukrainian Village Valuable one bedroom, one bathroom in Ukrainian Village features beautiful island kitchen with stainless steel appliances, gas oven/range, fridge, custom pendant lighting, tall ceilings,  hardwood floors, open living/dining room, large bedroom, good closet space, on-site laundry room, beautiful back yard patio, small pets welcome, too! Please text Molly Parshall at 262/402-8414‬ to schedule an appointment to view this apartment and mention Apartment ID: 32860. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
66,"Please read the full listing and reply through Domu at: <URL> Summary: AVAILABLE SEPTEMBER 1, 2022 Enjoy lakefront living on this quiet street east of Sheridan in Rogers Park. Steps from Loyola University, this second-story, one bedroom plus den/dining room condo includes an in-unit washer/dryer, central air conditioning, four closets with built-in California Closets organizers, upgraded lighting features, and INCLUDES ASSIGNED, OFF STREET PARKING! Hardwood floors were refinished in 2018. All walls were repainted white. All appliances were serviced within the last year. Additional storage (7' x 5') and bike room in the secured basement. Nice outdoor space in the courtyard. No smokers, please. Best Things About the Neighborhood: Enjoy a day at Hartigan or North Shore Beaches from this apartment for rent at the end of the street. Walk to dozens of shops, restaurants, CVS, and Target along Sheridan and Devon. Hop on the red line at the Loyola station (two blocks away) or the 147, 151, or 155 on Sheridan. The Northwestern University bus stop is two blocks south, taking riders north to the Evanston campus or runs express south to the Chicago campus. Is rent cheap, average, or expensive? <SEP>
", expensive, average
460,"RENTAL INFO Rental Rates: PRICE - PRICE/month Location: 2134 S Goebbert Rd Arlington Heights, IL 60005 Unit for Rent: 1-BR 1-BA | Square Feet: 600 sq ft | Lease Length: 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month, 15-Month, 16-Month, 17-Month, 18-Month (847) 305-3424 PROPERTY AMENITIES ● Cabana ● Controlled Access ● Grill ● Laundry Facility ● Online Payments Available ● Planned Social Activities ● Playground ● Renters Insurance Program ● Walking/Biking Trails ● Wi-Fi at Pool and Clubhouse ● 24-Hour 2-Floor Fitness Center with State-of-the-Art Equipment ● 24-Hour Emergency Maintenance ● 48-Hour Maintenance Commitment ● Brand New Luxurious Clubhouse ● Gameroom and 2-Lane Bowling Alley ● Ice Skating Rink **Winter Only ● Pet-Friendly Large Dogs Accepted ● Resort Style Heated Pool Surrounded by Relaxing Chaise Furnishings APARTMENT AMENITIES ● Balcony, Deck or Patio ● Dining Room or Eat-in Kitchen ● Dishwasher ● Heat and Air Conditioning ● Stainless Steel Appliances ● Upgraded Cabinets ● Walk-in Closets ● Wood Floors ADDITIONAL INFO Description: YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME! Relax and unwind - you can stop dreaming and start living. Our Arlington Heights apartment rentals are generously appointed with apartment features that will over-satisfy. Enjoy stainless steel appliances, upgraded cabinetry, walk-in closets, and wood floors. What are you waiting for? Choose from our spacious one, two, and three-bedroom floor plan options today! The Woodfield is a one bedroom, one bath apartment with a large walk-in closet, a spacious breakfast bar and either a patio or balcony. Pet Policy: Breed Restriction;Weight Restriction;Available in select buildings. We charge a PRICE fee per pet. We also charge PRICE for pet rent for each pet monthly. Pet Types: Cats and Dogs Breed restrictions apply. Weight restriction: up to 100 lbs on the first floor. Maximum pets per unit: 2 Website: <URL>/ Residences at Arlington Heights: (847) 305-3424 EQUAL HOUSING OPPORTUNITY 1D97EAB5D8A04D6 Is rent cheap, average, or expensive? <SEP>
", average, average
236,"PROPERTY INFO ID: 310573516 Rent: PRICE / Month Beds: 1 Bath: 1 Available Date: now!!/li> Pet: Cats & Small Dogs Only Rent Includes:: Heat, Water Parking:: no parking 1 Bed in Lincoln Square featuring: * Large Living space * Great amount of natural sunlight * Hardwood floors * Laundry in building * Pets allowed * Heat included! * Just minutes from gyms, public transportation, parks, coffee shops, tasty restaurants, grocery stores & nightlife! The Apartment Source Text for quicker response 773-404-9900 Is rent cheap, average, or expensive? <SEP>
", average, cheap
480,"PROPERTY INFO ID: 274597835 Rent: PRICE / Month Beds: 1 Bath: 1 Pet: Pet Friendly Parking:: attached garage TOUR: Call/Text Azalia @ 630.853.6340 Fantastic location with exceptional views overlooking Union Park! Just steps to Restaurant Row-home to some of the best dining around. Each apartment is beautifully designed and outfitted with high-end finishes featuring quartz countertops, wide plank flooring, and stainless steel appliances. This building boasts smart-home-ready residences with secure keyless building entry and apartment access, and Nest home thermostats. Dogs and Cats are welcome with certain breed restrictions FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property New Property Pool-Outdoor Smoking-No Azalia Allen 630-853-6340 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square Is rent cheap, average, or expensive? <SEP>
", average, average
257,"*Call/text Max with the Apartment Guys at 630-405-8540 with reference #2201805* HUGE affordable one-bedroom in Lakeview! This unit has tons of space with a living space and a separate dining area. Hardwood floors throughout the unit, granite countertops in the kitchen, and a nicely updated kitchen. Both dog and cat friendly as well as outdoor parking are available for a reasonable price. With many restaurants and bars nearby this apartment located in the heart of Lakeview won't last long! **Prices subject to change** ** For faster response contact Max with reference #2201805** Max Chamberlain -(630) 405-8540 Leasing Consultant Apartment Guys Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
13,"3930 N Pine Grove Wrigleyville Beautiful one bedroom, one bath condo in Wrigleyville at 3930 N Pine Grove features unobstructed lake views, heat and A/C included, updated kitchen with stainless steel appliances, granite countertops, spacious living and dining room, renovated bathroom with marble vanity, king size bedroom, ample closet and storage space, too! Fantastic full amenity building with 24 hr doorman, parking available, outdoor pool, sundeck, exercise facility, common outdoor deck with grills and tennis courts! Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 46514. Urban Abodes 215/499-1336‬ <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
247,"2420 N. Kedzie Logan Square Outstanding one bedroom, one bathroom in Logan Square features cooking gas included, rehabbed kitchen with granite countertops, stainless steel appliances, dishwasher, microwave, spacious living area, large bedroom, great closet space, rehabbed bathroom, laundry room in building, and pets are welcome! Close to Logan Square Blue Line, shops, restaurants, and nightlife! UA1701 Please Call Aleksandra Chadiev at 224/322-5494‬ to schedule an appointment to view this apartment and mention Apartment ID: 31672. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing Is rent cheap, average, or expensive? <SEP>
", average, average
438,"Text Carlos from Apartment Guys at 312-539-0642 and ask for reference #71113. Charming one bedroom/one bathroom in the heart of East Lakeview. This unit features hardwood floors throughout, tons of closet space, and modern kitchen, sunlight, Laundry is conveniently located in the building. Parking is available for an additional cost. Steps to Lake Michigan! Bars, restaurants, public transportation, nightlife and all at your fingertips! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
262,"Large Gold Coast Rehabbed One Bedroom with a Balcony! Amazing views from your floor to ceiling windows and private balcony! Ideal location right on the Gold Coast and River North border! this unit also has great closet space, central air conditioning, and newer kitchen with a dishwasher. Located in a full amenity high-rise building with a sundeck, fitness center, business center, on-site grocery store, dry cleaners, and a salon! Walking distance to great Gold Coast restaurants, shopping, entertainment, and much more! Small cats and dogs are okay. Prices are subject to change.*For faster response best to call or text Nick at 312-315-6774 with reference #128732 Is rent cheap, average, or expensive? <SEP>
", expensive, average
92,"Best location in the city. Artist Loft Townhome located steps from the lake, Old Town and Gold Coast. Pool, off-street heated parking. Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
382,"What a Rarity! Central Air in a Rehabbed Lakeview One Bedroom! Text Max with the Apartment Guys and ask for reference #1426696. Wonderful Lakeview one bedroom with a modern kitchen including a dishwasher, hardwood floors, and central air conditioning. Easily walk to area attractions such as supermarkets, Wrigley Field, buses and trains and Chicago’s gorgeous lakefront and parks! *For faster response call/text Max at 630-405-8540 with reference #1426696* Is rent cheap, average, or expensive? <SEP>
", cheap, average
