documents,poverty,race,class
"- Indoor SF: 1,800 SF - (2) Private decks - (1) Garage spot included in rent - (3) bedrooms, (2) full bathrooms - Brand new forced air (heating & air conditioning) - In-unit washer/dryer and laundry room - Brand new appliances - Brand new semi-custom cabinetry - Quartz countertops - (2) New walk-in showers and (1) soaking bathtub - Completely renovated (winter 2022) duplex apartment. Massive storage allowed in basement, and duplex unit has considerable in-unit storage. Some garage storage is also available. Both showers have shower head + body wands with custom glass enclosures. Kitchen island has integrated LED lighting. Integrated trash pullout in kitchen and integrated laundry hamper basket in primary bathroom. Rental facts and features Type: Apartment Cooling: Forced air Heating: Forced air Pets: Small dogs Parking: Garage - Detached + easy off-street Laundry: In unit Deposit & fees: $3,600 (move-in fee optional) Interior details Bedrooms: 3 Bathrooms: 2 Flooring: Hardwood Heating features: Forced air Cooling features: Forced air Appliances included: Dryer, Washer, Refrigerator/Freezer, 24"" Dishwasher, 30"" Gas Range, Garbage Disposal Laundry features: In Unit Parking features: Garage - Detached, Off-street Small dogs allowed! Please contact for other pets. Tenant pays all utilities. Water included in rent.']",nonpoor,aawhite,nonpoor_aawhite
"Visit our website to view videos of our available apartments or call now to schedule a virtual tour! All you need is an internet connection."" Call  today! Our Leasing Advisers will be happy to help! 312-985-0549 2 Bedroom | 1 Bath Apartment | 725 sq. ft. | Monthly Rent: $1,005 Near: E. 59th St. and S. Michigan Ave. | Washington Park | 60637 This location is a 14 minute walk from the Green Line at the Garfield-Green stop. Nearby parks include Sherwood Park, Washington Park and Washington Park. Apartment/Building Features: Cats OK | Dogs OK On-site Laundry, Phone entry intercom, Pre-wired phone/cable, Balcony, Bonus Room/Den, Eat-in kitchen, Hardwood floors, Heat Included, Income Restrictions Apply SPECIAL:→ Are you an active police officer, nurse, doctor or fire fighter? Ask about our Good Samaritan discount! Call 312-985-0549 to learn more, and schedule a tour! Like what you see? We have plenty of units available in Chicago, Park Forest, Sauk Village, West Austin, Maywood, Broadview and many more. **NOTE** If replying by email please remember to include your name, phone # and/or email address in your response so we can follow up with you directly. PLEASE CALL FOR PROMPT SERVICE: ↬ 312-985-0549 ↫ ***Please note that photos are a representation of a model apartment and may not be pictures of actual unit. ""Pangea Real Estate practices on-going dynamic pricing for all operated units. Unit promotions, discounts, and monthly rent quotes are subject to change based on day of month, current inventory, and additional market factors. As such, any promotions, discounts, or monthly rent quotes are valid only at the time presented to a prospective tenant and can expire anytime thereafter."" ""Pangea is an Equal Housing Opportunity provider."" c5854mic 70 E 59th St']",poor,black,poor_black
"HEATED FLOORING THROUGHOUT! Two of the rooms have private bathrooms and walk in closets! Be the first to live in this stunning apartment. Centrally located in the heart of Lakeview... easy access to, Wrigley Field, Lake Michigan, Parks, Dog Beach, Halsted Street Bars, Entertainment, Dining, Grocery Stores, Shopping, Transit, CTA, and more!', ""Featuring upgraded appliances and fixtures, brand new chef's kitchen, , in unit laundry, wood floors, walk in closet, two large king size bedrooms,  shared outdoor space, rain shower, LED mirror,  secured access, central heat and a/c, and more."", 'To schedule a showing contact Beacon, with The Marr Group at Fulton Grace, @ 312-373-0166 The property is professionally managed - well maintained - and pet friendly with no breed restrictions. There is an easy application process, no security deposit, and cosigners are welcomed. Parking $250/mo pending availability 24 month lease required. 12 month leases MAY be available with an increase of $200 per month in rent.']",nonpoor,aawhite,nonpoor_aawhite
"Corner building with lots of natural sunlight. Tenant pays gas and electric. Heated floor. Large pantry. Washer/dryer included (not shared). Long term quiet tenants in other units. No smoking. No pets. Close to public transportation (Metra/Bus). $1250 plus utilities 1.5 month security deposit 1 year lease Rental Application Background check Proof of income', ""*Please leave voicemail if I can't answer your call."", '773-875-5174']",nonpoor,aawhite,nonpoor_aawhite
"-Tons of Natural Light -Central Air/Heating -In-Unit Washer/Dryer -Two Blocks from Rockwell Brown Line Stop -Quick Walk to Many Shops/Restaurants/Bars in Lincoln Square -Fully Furnished (with option to rent unfurnished) -High Ceilings -Wood Floors (Tile in Kitchen/Bathroom) -Wood-Burning Fireplace -Additional Basement Storage Renter(s) responsible for gas, electricity, cable, and internet', ""Security Deposit (one month's rent)"", '$50 application fee for background/credit checks']",nonpoor,aawhite,nonpoor_aawhite
"ID: 275925800 Rent: $1,795 / Month Beds: 1 Bath: 1 Available Date: 08/01/2022 Pet: Pet Friendly Rent Includes:: Gas, Heat, Water Parking:: attached garage Renovated Lake View apt near Brown Line!●Free Heat●Free Gas●On-Site W/D●Pet-friendly●Wood floors●Send me a message today to schedule a private tour! FEATURES Bike Storage Cats OK Dishwasher Dogs OK Garage Hardwood Laundry Light Pet Friendly Renovated Roof Deck Jessica Kearney Square One Real Estate 3223 N. Sheffield www.hellosq1.com']",nonpoor,aawhite,nonpoor_aawhite
"ID: 300337243 Rent: $2,890 / Month Beds: 2 Bath: 1.5 Available Date: 08/01/2022 Pet: Cats Only Rent Includes:: Water Parking:: no parking East Lakeview, beautifully rehabbed 2.5 bedrooms w/ two full baths in an outstanding location on Newport just west of Halsted. This unit is in a traditional historic greystone walkup on the 2nd floor. Specifics include: - Central AC and Heat. - Private Deck! - King Bedrooms. - Exposed Brick! - Separate Office/Third Bedroom! - Beautiful Kitchen with Stylish Fixtures. - Hardwood Floors and Nice Tile Work. - Large Windows with Southern and Eastern Exposure. - High Ceilings with Ceiling Fans. - Coin Laundry, shared. - Cats Only. BASIC MEASUREMENTS: Kitchen: 14 x 12 Dining Room: 16 x 12 Living Room: 16 x 13 Bedroom1: 12 x 9.5 + closet Bedroom2: 9.5 x 9.5 with big closet Office: 8 x 8, no closet **Owner asks 700+ credit scores or cosigner may be needed to lease*** CALL OR TEXT Patrick 708.902.2266 @markey_real_estate @apartmentsource FEATURES A/C Balcony Bike Room/Bike Trails Cats Ok Ceiling Fans Central Air Central Heat Ceramic Tiles City View Deck Decorative Fireplace Dining Room Dishwasher Disposal Eat-in Kitchen Exposed Brick Family Room Fireplace (Decorative) Granite Counter Tops Hardwood Floors High Ceiling Laundry in Building Microwave New Appliances New/Renovated Bath New/Renovated Kitchen No Smoking Pantry Penthouse Pets Negotiable Private Balcony Spacious Closets Stainless Steel Appliances Stainless Steel Fridge Standard Bathroom Standard Kitchen Updated Bathroom Updated Kitchen Walk-Up Patrick Markey Licensed Leasing Agent 708 902 2266 TAS The Apartment Source Call or text: 773.404.9900']",nonpoor,aawhite,nonpoor_aawhite
"ID: 251464419 Rent: $2,516 / Month Beds: 1 Bath: 1 Parking:: attached garage The effortless layout incorporates premium, integrated appliances, including a stainless steel gas cooktop with slide-out hood fan and convection oven. Granite countertops and Italian cabinetry The elegant, mirrored medicine cabinets include convenient storage. Glass-encased showers with a wall-mounted hand shower-set blend beauty and function. Soaker tubs in all units invite relaxation. Private balconies and floor-to-ceiling windows framing iconic River North views. Master bedrooms boast custom, walk-in closets, ensuite bathrooms and blackout blinds. Every home has an in-suite, full-sized washer and dryer and self-controlled heating and cooling Wide-plank flooring flows seamlessly throughout all rooms. 24-hour Concierge Service offers assistance around the clock. Enjoy secure parking with designated spaces for electric vehicles, as well as secure bike storage. Automated package lockers by Amazon Hub ensure convenient pick-up. The rooftop outdoor pool and hot tub are surrounded by spacious decks, cabanas and lounge chairs. Enjoy elegant outdoor seating areas, cozy outdoor fire pits, and a bocce court. Private BBQ grill stations with large outdoor tables are perfect for dining al fresco. The Private Dining Room with professional kitchen is perfect for hosting friends and family. Our Family Lounge features kid-friendly casual seating for small groups, with banquette seating for adults. We love our four-legged residents, the dog run & adjacent lounge is designed to make it easy to exercise your pet. Friendly competition awaits: challenge your friends in the arcade at pinball or skeeball. Host your friends for the big game or view the latest film in our media room with full TV wall. When it’s time to get down to work, our business center is complete conference rooms and printing/scanning capabilities. With the latest cardio, strength and free-weight equipment, as well as towel service, home is the best place to work out. The separate studio space is perfect for yoga, stretching, private classes or personal training. The special steam and sauna are perfect for relaxation and rejuvenation. Call/Text Jon Immediately for a showing Jon Zolecki Managing Broker One Real Estate Chicago 815.355.4061 Call or Text']",nonpoor,aawhite,nonpoor_aawhite
"Separate kitchen, updated bath, good closet space. Laundry available on-site. Pet friendly building. Close to Metra, Brown Line, Restaurants and grocery! REHABBED PETS OK LAUNDRY ON SITE WALK TO THE BROWN LINE - Presented by Fulton Grace, Chicago IL. *Pictures, layout, and finishes may differ or be of a similar unit available within the building.']",nonpoor,aawhite,nonpoor_aawhite
- 1 Bathroom - Open Kitchen/Living Combo - Freshly Painted - Large Bedrooms - In-Unit Washer/Dryer Hook-Ups - Off Street Parking Available - 2nd Floor Unit - Central Ac/Heat - Section 8 Welcome - Near 71st Stony Island Starbucks/ Bank Of America/ Metra / Dollar General [ SRG PROPERTY SERVICES AND PUBLISHING ]'],poor,black,poor_black
"ID: 115868720 Rent: / Month Beds: 1 Bath: 1 Available Date: - Pet: Cats Allowed Parking:: detached garage Available now. Pricing on 14 month lease, other lease terms available, pricing varies. $60 utility fee covers water, trash, sewage, heat, and ac. Garage parking is available for $240/ month. No security deposit. Prospective tenants are subject to income, credit, and background screening. Any questions, ASK ME! Have thousands of listings throughout Chicago, work with various credit/ income! Call/ text Rachel 219.916.6499 Located in the very desirable Gold Coast neighborhood, this prime location is just minutes away from the Loop, Oak Street Beach and all of the shopping, restaurants and nightlife you can handle. Enjoy the outdoor pool and sundeck, renovated fitness center and gas grills when it is time to BBQ. On-site maintenance and dry cleaning, 24-hour security door staff. Walk to several specialty grocery stores - The Goddess and Grocer, Plum Market and Potash Market - as well as standard grocer Jewel-Osco for convenience and neighborhood flair all around this building. These well-laid-out apartments that have been recently renovated are very spacious, with large closets, hardwood floors and both floor-to-ceiling and bay windows. Parking is available on-site at an additional charge, and cats are welcome. FEATURES Balcony-None Central Air-Yes Dishwasher-Some Flooring-Hardwood Only Laundry-On Site Pool-Outdoor Security-24 Hour Doorman Smoking-Yes Stove-Electric Value Property Rachel Russell 219-916-6499 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square']",nonpoor,aawhite,nonpoor_aawhite
"This lovely apartment features shared rear deck, hardwood floors through out, an open living room and kitchen with stainless steel appliances, dishwasher, microwave and laundry on site. Garage Parking Available for $150/month but no spaces available. Tenants are responsible for the following utilities: Electric, Heat and Cooking Gas. This building is Cat Friendly with the max of 2 cats with a one-time fee of only $100 per cat! Apartment available 8/1/2022. **Photos are representative** If you are interested in viewing this beautiful apartment, please feel free to contact Ingrid at 773-759-1825 If you are interested in more or various other availabilities that we offer throughout Lincoln Park, Lakeview, Andersonville, Sheridan Park and Hyde Park please visit our website for out listings www.aptrentals.com Lease Terms: No Security Deposit $400 Administrative Fee $75 Application Fee per adult $100 Cat Fee per Cat with a limit of 2 Equal Opportunity Housing This property is managed by: Realty & Mortgage Co. 1509 W. Berwyn Ave., Suite #200 Chicago, IL 60640 Ph: 773-989-8000 Fax: 773-989-6979 www.aptrentals.com']",nonpoor,aawhite,nonpoor_aawhite
"Brand new appliances , 2 walk-in closets hardwood floor and AC in unit. Pet friendly, pet wash station is on the main floor. Huge beautiful lobby, hang out rooms and game room! Gym and bike room also. Parking available, charged separately. Across the street from Marianos, on your other corner you have Mcds. About a 5 minute walk you have a Jewels among other shopping centers and stores. 5 minutes from Red line. 146, 147 bus routes plus more! steps from your door. Rent is $1395.00 Utilities is $75 Love the place but unfortunately need to move closer to Suburbs for parents. you would be taking over my lease. My lease is up November 20th 2022']",nonpoor,aawhite,nonpoor_aawhite
"Low income? No Problem! Are you or a loved one needing support at home, but still want to be able to be independent? Then Ravenswood Supportive Living is the place for you. Amenities offered: Pets: 25# and under and up to date on vaccinations 3 Meals a day Electric and Heating (central air and non radiator heating) Nursing Support 24/7 Certified Nursing Assistants Medication Reminders Luxury Large Studio Apartments Free WIFI and Cable Secured Entrance with locked doors and camera access Emergency Call lights in all tenant rooms and throughout facility Free Exercise Room Onsite Beautician/ Barber Assistants with Activities of Daily Living Daily Wellness Checks Free Laundry & More $0 application fee and little to 0 move in fee! Want to know more? Please call Daniel at 224-801-2982', ""Units are available now, but don't wait, this opportunity is once in a life time!"", 'Ravenswood Supportive Living is committed to  without regard to the race, color, religion, gender (sex), disability (handicap), familial status, national origin, sexual orientation or gender identity of any prospective client, customer, or of the residents of any community.']",nonpoor,aawhite,nonpoor_aawhite
"ID: 300574143 Rent: $1,550 / Month Beds: 2 Bath: 1 Available Date: 08/01/2022 Pet: Pet Friendly Parking:: street parking This one bedroom, one bathroom apartment in Ravenswood features an updated kitchen with a dishwasher, hardwood flooring throughout, and an on-site laundry facility. This building is pet friendly, and includes decks and a yard. Call today to schedule a private showing! FEATURES Balcony Cats OK Dishwasher Dogs OK Hardwood Floors Laundry in Building Pet Friendly Yard PLEASE CALL OR TEXT ME AT 847-220-2948 FOR FASTEST RESPONSE!']",nonpoor,aawhite,nonpoor_aawhite
"Property Address 2814 N. Troy | 3R | Chicago, IL 60618 Available: 08/01/2022 Offered By M. Fishman & Co. Description This unit features a large modern living space, ample bedroom, central air, in-unit laundry, separate dining room and a luxurious kitchen equipped with stainless steel appliances and quartz counter tops. Updated bathroom has stone tile and new vanity with quartz counter tops. Building features secure intercom entry, storage and an outdoor patio in the back. Call or text Nick @ 708.612.1063 $400 move-in fee, no security deposit. Details Beds/Baths: 1BD/1.0BA Rental Terms Rent: $1,795.00 Available: 08/01/2022 Application Fee: $50.00']",nonpoor,aawhite,nonpoor_aawhite
"ID: 9049534 Rent: $3,370 / Month Beds: 2 Bath: 2 Available Date: 12/03/2019 Pet: Pet Friendly Parking:: attached garage Wow Location! Close to West Loop, Fulton Market Area, The Loop, Metra, Highways, RIver North, L stations (blue line/pink/green line) This is a corner unit must see. Ask about Hardwood Flooring as well! Please email a link to this ad with the following information: When is your move date?(is it flexible, if so how far in either direction)? Do you have any pets? (weight and breed)? Do you need parking? Budget (just rent)?', ""Neighborhoods you're considering?"", 'Have you toured any properties yet? (if, so where-I don’t want to double up on my research) When are you available for a showing? Located in the K Station/Fulton River District, this well-positioned property is located right between the bustling River North neighborhood to the east and the booming meat packing district of West Loop to the south. With easy access to the CTA Blue, Green and Pink Lines, as well as the 90/94 Expressway, it is hard to beat this location for getting around. A lap length pool, cabana and fire pit are complemented by outdoor grilling stations. Take advantage of the state-of-the-art fitness center, club room with billiards table and resident business center. The building is 100% smoke-free, has 24-hour security door staffing, and an on-site dry cleaner and package receiving. They even offer cookies baked fresh daily! Inside all of the apartments, you’ll find modern kitchens with granite countertops, stainless steel appliances and gas stoves, as well as in-unit washers and dryers and spacious closets. Select apartments offer floor-to-ceiling windows and all units are available for hardwood flooring upgrades for an additional cost. The 2 bedroom apartments have balconies. Parking is available on-site at an additional charge. Cats are accepted throughout and dogs are welcome on select floors (dog breed restrictions apply but there is no weight limit). FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Some Carpet/Some Hardwood Laundry- W/D In Unit Luxury Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square']",nonpoor,aawhite,nonpoor_aawhite
"These units have been recently updated with stainless steel appliances and new countertops and cabinets! The building has a ton of amenities such as doorstaff, a fitness center, swimming pool, dog deck and spa, cabanas and fire pits! It also has valet parking, package receiving and an on site dry cleaners! Prices are subject to change.***Photos may be of a similar unit.****For faster response best to call or text 773-549-3474 with reference #1025408.']",nonpoor,aawhite,nonpoor_aawhite
"*Free heat, water, cooking gas, electric *Newly remodeled kitchen and bath *SS appliances, quartz countertops *Laundry and bike storage in building / Elevator building *5 minute walk to the lakefront, morse redline, morse supermarket REQUIREMENTS: GOOD CREDIT HISTORY REQUIRED (650+ MINIMUM SCORES ARE A GOOD ESTIMATE) 2550 GROSS MONTHLY INCOME REQUIRED (MUST BE PROVABLE) CATS OK, NO DOGS - 250 PET FEE Chris Busch Winnemac Properties']",nonpoor,aawhite,nonpoor_aawhite
"ID: 2121888 Rent: $2,700 / Month Beds: 4 Bath: 2 Available Date: 08/01/2022 Pet: Negotiable Rent Includes:: Water Large 4BR/2BA with Large bedrooms, laundry in building, 2 parking spots included, 3 Blocks to the 6 corners at North, Milwaukee, & Damen! Pets OK (Non-Aggressive Breeds) Please Call Adam Antonucci 847-533-0962 Residential Sales & Leasing FEATURES Dishwasher Duplex Microwave Patio Please Call Adam Antonucci 847-533-0962 Residential Sales & Leasing The Apartment Source Call or text: 773.404.9900']",nonpoor,aawhite,nonpoor_aawhite
"Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on This building is located in the heart of the the West Loop. Hardwood Floors, Stainless Steel Appliances, Decorator Light, Quartz Countertops. Pets are OK. Garage parking extra.   Building has fabulous country club like amenities including: -Outdoor pool -Rooftop grill and lounge area -Cyber cafe -Fitness center  This unit offers: -Central heat and A/C -Spacious floor plans  -Stunning city views  -WD IN UNIT take advantage of this awesome convertible unit today! Velocity Apartment Group 312-253-7403 *****For faster response from one of our Agents, please provide your cell phone number, move date and email address when inquiring.  Thank you. Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on']",nonpoor,aawhite,nonpoor_aawhite
